
%% system settings 
% Time step [s]
h = 0.01;  

% mass
mass = 1.440;
% the inertia matrix with respect to the body-fixed frame
Jx = 0.01667744559662811; 
Jy = 0.017723765387827547; 
Jz = 0.029656688514293567;

% system dimension
dim_x = 6;
dim_u = 3;


% Simulation parameters
tspan = [0 0.3]; % Time range [s]
num_steps = length(tspan(1):h:tspan(2));

% torque maganitude
eu = 1.0;

% disturbance maganitude
ed = 0.001;

% multiple trajectory
num_traj = 30;


%% Input 1
0.660038149146186	-0.193186700912541	-0.530458579838746	0.842714054755552	0.684780695987601	0.760863861894506	0.914018457778974	-0.366761672828035	0.124750571703309	-0.874993088988176	0.344058416221683	-0.578278488589425	0.150809827827215	0.375432638598320	0.717863734036914	0.0746534674557255	-0.989583627407284	-0.548371077634795	-0.430500981887596	0.215492557772682	-0.341499888665098	-0.802255581171693	-0.913854155742636	0.880842302240027	-0.464571020136797	-0.0718494577423652	-0.728483430802865	0.317555528435144	0.624147669322465	0.497173608653632
0.831838162876018	-0.625813708994222	0.105199163773605	-0.972213223690396	0.511018120542783	0.222877218452162	0.595201202753370	0.887157624116161	-0.420712825552670	-0.829229489075435	0.949923526256039	-0.0528858196990927	-0.228308471158723	0.764744699913135	0.119023500896640	-0.232815057429154	-0.399024780432717	0.557924481822822	0.476565027725391	-0.271357048002702	0.0640642131868747	0.236460860374766	0.372418995661948	-0.453304305007524	-0.0469764402326973	0.977867251302200	0.452547246936766	-0.371830865357822	0.487986239711486	0.545205870719060
0.741061194852022	-0.930474878489659	0.945359251955160	-0.145678127573530	-0.274339858291407	-0.614033660588188	-0.901138238270646	0.579761352027506	-0.0328612253546754	-0.144806947614987	-0.653835607295897	-0.667485437780643	0.641204396543488	-0.871151901487335	0.433483773950171	0.209145349674166	-0.894504085400208	0.196999401378693	0.642008007095846	0.545676583609517	0.111513490001063	-0.913160386389203	-0.226291996933846	0.991637939923773	0.703916746609420	0.216564277049921	0.519160622276337	0.180497222031844	0.414710500090025	0.588926953018985


%% Input 2
-0.369872049386124	-0.571733112886260	0.173261834653565	0.334814013683742	0.467308633240425	0.573530823978463	0.405051275469902	0.154806414881149	0.187722466269920	0.703789641589489	0.0945428805300894	0.0228093149575006	0.931993380971108	-0.962176199753371	0.786383239715289	-0.818571524703229	-0.585056425231667	0.620835670310380	-0.599477387341573	-0.362993366514539	0.715166166626161	-0.522622315400542	0.472174131392981	-0.566199416376128	-0.210890132438610	0.940368680859583	-0.0842213378797005	-0.531313329635603	-0.368662131953794	-0.795127273588570
-0.601185741331819	-0.785628025560830	-0.922878082302231	-0.0509036371692748	-0.0924141308061548	-0.577461777358643	0.157633854309613	0.324377981257119	-0.402997557040574	0.419320138465027	-0.289574812366926	-0.387402249395871	-0.961252365216425	0.137061567053716	-0.755968547167692	-0.573811848728665	0.271043913728329	0.420019044806224	0.552708121738157	0.283569558020811	-0.371298563838248	0.722350921019270	0.333997714901540	-0.262452144054440	-0.646918526966921	-0.242637373908357	0.968683302158838	0.0907579567883343	0.832601970853356	0.883519311145701
0.669947389135872	0.737502563592867	-0.987565392740752	-0.224872545852690	-0.822733556381798	-0.535817245551006	0.0932317395779261	0.195458564079749	-0.204571795150850	0.0644677391816275	0.472397824025614	0.699338403526209	0.176286181647846	0.493026777850700	-0.520378621531364	-0.203676748568398	-0.579318984073541	0.547455154594367	0.469107219017772	0.0741059710093073	0.219433095410158	0.214952597948534	-0.537178710855139	-0.873083471118004	0.682601725778863	0.0535619098378979	0.885789858405357	-0.989864561302894	-0.357581417952232	0.830368617892719


%% Input 3
0.780887314972361	0.805045120426468	0.705781767592764	-0.129873149234016	0.181107840430484	0.788617774239377	0.742392929035656	0.133403274255700	-0.532925938154807	-0.907587246176816	-0.00737836738317044	-0.484553069810858	-0.958726137341795	0.204744779584623	0.0905271815186335	0.774172869278849	-0.0612394184846794	-0.810650246409117	0.656213941877722	-0.275583555300872	0.532275693184089	0.361182572187093	-0.353769122074862	-0.306647997724460	-0.0737123840044660	0.757367905661192	0.0214575385375380	-0.401617561335952	-0.175789175364791	-0.142744262131272
0.571800240777271	0.146865608288004	0.789693110892642	0.156545710178857	0.0325533427485294	-0.845979445965284	0.657458647313926	0.0685139205252430	0.732793729057412	0.472492588164567	0.585634291711112	-0.795900378542056	0.239723981951782	-0.847770824353570	0.339201551188599	0.905101800747003	-0.173468538369625	-0.109452867139723	0.803338714873632	-0.892193197877267	-0.290511343007809	0.458672339738651	-0.766705742410648	-0.314238085571856	0.934180025128302	-0.491128180170548	-0.760227695759920	0.338249626717130	-0.330837762551490	0.526411592697910
