%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z,field.r,field.buttons
11112000000,304,11111000000,,0.0,0.0,0.5,0.0,0
11145000000,305,11145000000,,0.0,0.0,0.5,0.0,0
11181000000,306,11181000000,,0.0,0.0,0.5,0.0,0
11229000000,307,11229000000,,0.0,0.0,0.5,0.0,0
11259000000,308,11259000000,,0.0,0.0,0.5,0.0,0
11308000000,309,11308000000,,0.0,0.0,0.5,0.0,0
11341000000,310,11341000000,,0.0,0.0,0.5,0.0,0
11377000000,311,11377000000,,0.0,0.0,0.5,0.0,0
11424000000,312,11424000000,,0.0,0.0,0.5,0.0,0
11459000000,313,11459000000,,0.0,0.0,0.5,0.0,0
11508000000,314,11508000000,,0.0,0.0,0.5,0.0,0
11541000000,315,11541000000,,0.0,0.0,0.5,0.0,0
11577000000,316,11577000000,,0.0,0.0,0.5,0.0,0
11625000000,317,11625000000,,0.0,0.0,0.5,0.0,0
11659000000,318,11659000000,,0.0,0.0,0.5,0.0,0
11696000000,319,11696000000,,0.0,0.0,0.5,0.0,0
11777000000,320,11777000000,,0.0,0.0,0.5,0.0,0
11842000000,321,11842000000,,0.0,0.0,0.5,0.0,0
11875000000,322,11875000000,,0.0,0.0,0.5,0.0,0
11920000000,323,11920000000,,0.0,0.0,0.5,0.0,0
11942000000,324,11941000000,,0.0,0.0,0.5,0.0,0
11992000000,325,11992000000,,0.0,0.0,0.5,0.0,0
12025000000,326,12025000000,,0.0,0.0,0.5,0.0,0
12058000000,327,12058000000,,0.0,0.0,0.5,0.0,0
12108000000,328,12108000000,,0.0,0.0,0.5,0.0,0
12143000000,329,12143000000,,0.0,0.0,0.5,0.0,0
12192000000,330,12192000000,,0.0,0.0,0.5,0.0,0
12225000000,331,12225000000,,0.0,0.0,0.5,0.0,0
12259000000,332,12258000000,,0.0,0.0,0.5,0.0,0
12309000000,333,12309000000,,0.0,0.0,0.5,0.0,0
12342000000,334,12342000000,,0.0,0.0,0.5,0.0,0
12393000000,335,12393000000,,0.0,0.0,0.5,0.0,0
12424000000,336,12424000000,,0.0,0.0,0.5,0.0,0
12457000000,337,12457000000,,0.0,0.0,0.5,0.0,0
12509000000,338,12509000000,,0.0,0.0,0.5,0.0,0
12542000000,339,12542000000,,0.0,0.0,0.5,0.0,0
12591000000,340,12591000000,,0.0,0.0,0.5,0.0,0
12624000000,341,12623000000,,0.0,0.0,0.5,0.0,0
12658000000,342,12658000000,,0.0,0.0,0.5,0.0,0
12709000000,343,12709000000,,0.0,0.0,0.5,0.0,0
12741000000,344,12741000000,,0.0,0.0,0.5,0.0,0
12792000000,345,12791000000,,0.0,0.0,0.5,0.0,0
12825000000,346,12825000000,,0.0,0.0,0.5,0.0,0
12858000000,347,12858000000,,0.0,0.0,0.5,0.0,0
12907000000,348,12907000000,,0.0,0.0,0.5,0.0,0
12941000000,349,12941000000,,0.0,0.0,0.5,0.0,0
12992000000,350,12992000000,,0.0,0.0,0.5,0.0,0
13025000000,351,13025000000,,0.0,0.0,0.5,0.0,0
13058000000,352,13058000000,,0.0,0.0,0.5,0.0,0
13107000000,353,13107000000,,0.0,0.0,0.5,0.0,0
13141000000,354,13141000000,,0.0,0.0,0.5,0.0,0
13176000000,355,13175000000,,0.0,0.0,0.5,0.0,0
13225000000,356,13225000000,,0.0,0.0,0.5,0.0,0
13258000000,357,13258000000,,0.0,0.0,0.5,0.0,0
13308000000,358,13308000000,,0.0,0.0,0.5,0.0,0
13342000000,359,13341000000,,0.0,0.0,0.5,0.0,0
13375000000,360,13375000000,,0.0,0.0,0.5,0.0,0
13426000000,361,13426000000,,0.0,0.0,0.5,0.0,0
13458000000,362,13458000000,,0.0,0.0,0.5,0.0,0
13509000000,363,13509000000,,0.0,0.0,0.5,0.0,0
13542000000,364,13542000000,,0.0,0.0,0.5,0.0,0
13576000000,365,13576000000,,0.0,0.0,0.5,0.0,0
