%time,field.clock
13050000000,13041000000
13050000000,13042000000
13050000000,13043000000
13050000000,13044000000
13050000000,13045000000
13051000000,13046000000
13051000000,13047000000
13051000000,13048000000
13051000000,13049000000
13051000000,13050000000
13051000000,13051000000
13051000000,13052000000
13053000000,13053000000
13054000000,13054000000
13055000000,13055000000
13055000000,13056000000
13057000000,13057000000
13058000000,13058000000
13059000000,13059000000
13060000000,13060000000
13060000000,13061000000
13062000000,13062000000
13063000000,13063000000
13064000000,13064000000
13065000000,13065000000
13066000000,13066000000
13067000000,13067000000
13068000000,13068000000
13068000000,13069000000
13070000000,13070000000
13071000000,13071000000
13072000000,13072000000
13073000000,13073000000
13074000000,13074000000
13074000000,13075000000
13076000000,13076000000
13077000000,13077000000
13078000000,13078000000
13079000000,13079000000
13080000000,13080000000
13081000000,13081000000
13082000000,13082000000
13083000000,13083000000
13084000000,13084000000
13085000000,13085000000
13086000000,13086000000
13087000000,13087000000
13088000000,13088000000
13089000000,13089000000
13090000000,13090000000
13091000000,13091000000
13092000000,13092000000
13093000000,13093000000
13094000000,13094000000
13095000000,13095000000
13096000000,13096000000
13097000000,13097000000
13098000000,13098000000
13099000000,13099000000
13100000000,13100000000
13100000000,13101000000
13102000000,13102000000
13103000000,13103000000
13104000000,13104000000
13105000000,13105000000
13105000000,13106000000
13107000000,13107000000
13108000000,13108000000
13109000000,13109000000
13110000000,13110000000
13111000000,13111000000
13112000000,13112000000
13113000000,13113000000
13114000000,13114000000
13114000000,13115000000
13116000000,13116000000
13117000000,13117000000
13118000000,13118000000
13119000000,13119000000
13120000000,13120000000
13121000000,13121000000
13122000000,13122000000
13123000000,13123000000
13124000000,13124000000
13125000000,13125000000
13126000000,13126000000
13127000000,13127000000
13128000000,13128000000
13129000000,13129000000
13130000000,13130000000
13131000000,13131000000
13131000000,13132000000
13133000000,13133000000
13133000000,13134000000
13134000000,13135000000
13136000000,13136000000
13137000000,13137000000
13138000000,13138000000
13139000000,13139000000
13140000000,13140000000
13141000000,13141000000
13141000000,13142000000
13143000000,13143000000
13144000000,13144000000
13145000000,13145000000
13146000000,13146000000
13147000000,13147000000
13148000000,13148000000
13149000000,13149000000
13150000000,13150000000
13151000000,13151000000
13152000000,13152000000
13153000000,13153000000
13154000000,13154000000
13155000000,13155000000
13156000000,13156000000
13157000000,13157000000
13158000000,13158000000
13159000000,13159000000
13160000000,13160000000
13161000000,13161000000
13162000000,13162000000
13163000000,13163000000
13164000000,13164000000
13165000000,13165000000
13166000000,13166000000
13167000000,13167000000
