%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1758792835845973912,35961,1758792835667707968,base_link,-0.008291474433474213,-0.0015862084975085799,0.018038598281571675,-0.9998017241103337,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.003406302537769079,0.0001351833343505855,-0.0035000182688236237,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.044272128492593765,0.10360930114984632,9.796195983886719,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758792835846016312,35962,1758792835678707968,base_link,-0.008311849471278944,-0.0015914324018181526,0.01806295916001096,-0.9998010497607575,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.001093096099793911,0.0018548276275396347,-0.0008814450120553376,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.021174650639295578,0.2084534317255032,9.786232948303223,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758792835846228056,35963,1758792835682707968,base_link,-0.008300773411199183,-0.0015985005600223311,0.018039441218541896,-0.9998015555229397,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0009069042280316353,-0.00020148698240518524,0.003862375859171152,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.021282773464918137,0.2443159669637692,9.827649116516113,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758792835846330456,35964,1758792835693707968,base_link,-0.008312496491258037,-0.001577933227221269,0.01803880901581423,-0.9998015133760911,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.000998122151941061,-0.0011134818196296696,-0.0028555546887218952,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.0824768990278244,0.09068140387535216,9.81491470336914,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758792835846422392,35965,1758792835706705408,base_link,-0.008303758922726123,-0.0015802440598997802,0.018045847539515523,-0.9998014712292427,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00088505819439888,0.00024251220747828522,0.0030146189965307713,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.023152705281972885,0.19048209488391996,9.79450798034668,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758792835846433976,35966,1758792835712705408,base_link,-0.008310937057863134,-0.0015837066869227533,0.018026038520715434,-0.9998018084040308,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00113779422827065,-0.0012566717341542242,0.0016246971208602192,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.04516002535820007,0.10250864923000455,9.796910285949707,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758792835846481016,35967,1758792835723705408,base_link,-0.008317473441377118,-0.0015755799184219929,0.018046648329637233,-0.9998013447886971,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0038436721079051495,-0.00022836308926343942,-0.001961519941687584,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0201122984290123,0.1968274861574185,9.839585304260254,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758792835846512600,35968,1758792835727705408,base_link,-0.008313289049573394,-0.0015793435002851139,0.01802882021271711,-0.9998017241103337,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0006548559758812189,0.0015198371838778264,0.004543757997453213,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.039476074278354645,0.1890890896320355,9.840594291687012,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758792835846529848,35969,1758792835736705408,base_link,-0.008324935409197069,-0.0015941673371598047,0.018025532758533303,-0.9998016398166367,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0006593500729650259,0.0032034311443567276,0.0005919574177823956,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.08877992630004883,0.1469084471464169,9.785991668701172,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758792835846583384,35970,1758792835742705408,base_link,-0.008318025960219314,-0.0016001936779523548,0.018035395121084836,-0.9998014712292426,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0002912303898483515,0.0008578517008572817,0.00022866349900141348,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.004683297127485275,0.17357780039310575,9.807583808898926,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
