%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1758792835846619928,27587,1758792835781705408,base_link,-0.0012842728774547212,-0.003253678920363278,0.000734799081781058,0.002319145016372204,0.0013998905196785931,0.0035122125409543514
1758792835846640728,27588,1758792835787705408,base_link,-0.0009470497581622518,-0.00321991655973173,0.0008576520851117052,1.6688834875822067e-05,-0.0025081252679228783,-0.0006389399059116837
1758792835846673496,27589,1758792835798705408,base_link,-0.001140637040452952,-0.0034675939771321887,0.0008658626604283782,0.0005072471685707569,-0.0006162011995911599,-0.000556367915123701
1758792835846753784,27590,1758792835817705920,base_link,-0.0012856110850034657,-0.0029188274824501165,0.0009705529662503902,-0.0017477760557085276,-0.0008633518591523177,-0.005471290089190006
1758792835846780056,27591,1758792835828705920,base_link,-0.0014791038848868596,-0.0036323778668352637,0.0008081447064966555,0.00016805250197649002,0.0006012951489537955,0.00046687695430591697
1758792835847976760,27592,1758792835837705920,base_link,-0.0014269362936723568,-0.00329363085132203,0.0009901579283338813,0.0011709234677255154,0.00015792902559041999,0.0018316758796572685
1758792835851951256,27593,1758792835847705920,base_link,-0.0016963836468487528,-0.0039004075873852913,0.0009738690149626906,0.0013042399659752846,-0.00123138353228569,0.0011021242244169118
1758792835865808696,27594,1758792835861705920,base_link,-0.0014617034092013193,-0.003301588148918328,0.001311826992292238,-0.002579471794888377,-0.002889367751777172,0.0011161750881001358
1758792835874669336,27595,1758792835867705920,base_link,-0.0016662666006588933,-0.003602612937397572,0.0012134598843119874,-0.0047609442844986916,-0.0027964436449110504,0.003980778157711029
1758792835884855224,27596,1758792835877705920,base_link,-0.0014143230026491729,-0.003435590626079251,0.0012456396045145842,-0.0025497323367744684,-0.0005120774731040002,-0.00048524502199143166
1758792835903612056,27597,1758792835891705920,base_link,-0.0017164951944610718,-0.003736591797537615,0.0011109533984457022,0.0006234459578990936,-0.00020086020231246886,0.0049818698316812515
1758792835905807480,27598,1758792835897705664,base_link,-0.001554935664604214,-0.0035279306717216938,0.0010651969459069494,0.0001983798574656248,0.0009671053849160671,0.00018698145868256677
1758792835914630680,27599,1758792835907705664,base_link,-0.0017317773176171545,-0.0034192873292421353,0.001138633392928356,-0.002180155599489808,-0.001086562406271696,-0.00048131460789591063
1758792835926560536,27600,1758792835921705664,base_link,-0.0014647601798544237,-0.0034893383341009325,0.0010153601957953416,0.0022613718174397945,-0.001580849289894104,-0.00038547837175428846
1758792835944195608,27601,1758792835937705664,base_link,-0.001509358422936265,-0.00319788821089586,0.0008214351092311619,-0.0001667574979364872,-0.00019186548888683338,-0.0015976416179910302
1758792835956452344,27602,1758792835950705664,base_link,-0.0013561291118637656,-0.0027114700160740792,0.0007456698076351363,0.0023656650446355343,0.0019605439156293865,-0.0035428502596914773
1758792835969367480,27603,1758792835957705664,base_link,-0.0016782689615422747,-0.0029279125715899568,0.0007825911850864482,-3.6268262192606926e-05,0.001086757052689791,0.002093550283461809
1758792835980800600,27604,1758792835967705664,base_link,-0.0014271142214282739,-0.0024178388637744624,0.000927031117585994,-0.001801415579393506,0.00017432589083909931,-0.004596805665642023
1758792835988245880,27605,1758792835981705664,base_link,-0.001619184296025924,-0.0025229712346021087,0.0007524488417188991,-1.916009932756424e-05,-0.00038254447281360637,-0.0010321178706362844
1758792835999156568,27606,1758792835986705664,base_link,-0.0014276088100242073,-0.002042461945735242,0.0009498494490340809,-0.004482726566493511,0.001341310096904635,-0.00406503165140748
1758792836006444760,27607,1758792835997706432,base_link,-0.001482943482146996,-0.002009128012978214,0.0007526070099540789,-0.0004353418480604887,-0.002333715558052063,0.0012196300085633995
1758792836014399928,27608,1758792836006706432,base_link,-0.0011834180466747909,-0.001961484456956052,0.0007820818237293462,-0.001068576006218791,-0.003287733998149634,-0.004264718387275934
1758792836028320504,27609,1758792836016706432,base_link,-0.0013733357124982844,-0.0017252596740395237,0.0007020434849343393,-0.0006877074483782053,-0.00044862786307930887,0.004760760813951492
1758792836033223320,27610,1758792836027706432,base_link,-0.001323331360793834,-0.0017739087233380288,0.0006127356444099404,-0.002800513757392764,-0.001589738298207522,-0.005402514711022377
1758792836039837176,27611,1758792836036706432,base_link,-0.0014236527568712014,-0.0014496092101657291,0.0005097081804810251,-0.0012031418737024069,-0.0007261312566697601,-0.002338215708732605
1758792836053070456,27612,1758792836046706432,base_link,-0.0014313502532341891,-0.0017127044606644855,0.0005040081286970682,-0.00033641583286225796,0.0007159945089370009,-0.0030117277055978775
1758792836069695704,27613,1758792836057706432,base_link,-0.001355447720890975,-0.0015834432534585986,0.0006034372667087683,-0.0014669469092041254,0.0009477434214204549,-0.0005930286133661867
1758792836077375288,27614,1758792836066706432,base_link,-0.0015668700189080008,-0.0021355726743923155,0.00043268418734276984,0.003085003700107336,0.00252937083132565,-0.0010226428275927903
1758792836083041464,27615,1758792836076706432,base_link,-0.0015742821715836416,-0.0015048109170024881,0.00033881379355413493,0.003085003700107336,0.00252937083132565,-0.0010226428275927903
1758792836107268280,27616,1758792836096704640,base_link,-0.0013774698240588952,-0.0012641649868134286,1.603985116810777e-05,-0.0005071137566119432,-0.0008075260557234289,-0.0018193126888945699
