%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1758875641027509520,82660,1758875640947017408,base_link,0.02081876756375207,0.01775048785814336,-0.03957226612275747,-0.9988421246634377,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0005555683746933937,-0.0006102111656218768,-0.00132639124058187,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.33638882637023926,-0.41958501935005066,9.824347496032715,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758875641027581776,82661,1758875640962017920,base_link,0.020822337533529845,0.01775695147248921,-0.039575384989547234,-0.9988417874886496,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0010666173184290528,-0.0013258235994726422,-0.0012465403415262697,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.3105388581752777,-0.4371715784072864,9.807833671569824,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758875641027591216,82662,1758875640969017920,base_link,0.020819191007870705,0.017753552065739007,-0.03955654534826296,-0.9988426725724683,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00017536338418722153,9.030662477016414e-05,-0.002846423303708434,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.3777191638946533,-0.4148384034633624,9.814427375793457,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758875641027595504,82663,1758875640979017920,base_link,0.02081975636833081,0.017753663689033108,-0.039572434710151566,-0.9988420403697407,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0010573355248197913,0.0019895855803042655,0.002151760738343,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.3210331201553345,-0.389409542083739,9.821045875549316,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758875641027667152,82664,1758875640983017920,base_link,0.020821329631160377,0.017765933031761334,-0.039574668493122654,-0.998841661048104,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0012027132324874401,-0.0020256966818124056,-0.0011254509445279834,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.29488760232925415,-0.44103047251701233,9.7755765914917,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758875641027678896,82665,1758875640998017920,base_link,0.020818698745850985,0.01774697155974299,-0.03956653415135997,-0.9988424618382258,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00044974195770919323,0.0008231601677834987,-0.000864942790940404,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.33783259987831116,-0.37113329768180725,9.784738540649414,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758875641027692208,82666,1758875641013017920,base_link,0.020837657912963554,0.017764598491315908,-0.03956535403960165,-0.9988417874886496,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0013263756409287453,-0.0009064637124538422,0.00015579559840261947,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.3206256628036499,-0.4188839495182025,9.83802604675293,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758875641027698960,82667,1758875641018017920,base_link,0.020839735456250116,0.017771861743330578,-0.039570285220877445,-0.998841408167013,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00040785479359328747,-0.0028689440805464983,-0.0014299598988145585,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.3476555049419403,-0.4466695785522449,9.797799110412598,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758875641036811152,82668,1758875641028017920,base_link,0.020850026860548612,0.017774490982278696,-0.039595362595741465,-0.9988401859084062,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.002438711002469063,-0.0006181802600622174,0.0027959102299064398,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.33874911069869995,-0.4495151937007892,9.793221473693848,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1758875641041748432,82669,1758875641033017920,base_link,0.020843527026254825,0.01777432371197367,-0.0395813698420358,-0.9988408602579824,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.001784732099622488,-4.865042865276334e-05,0.00020952790509909391,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.33291181921958923,-0.46879369020461914,9.772241592407227,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
