%time,field.header.seq,field.header.stamp,field.header.frame_id,field.connected,field.armed,field.guided,field.manual_input,field.mode,field.system_status
14792000000,15,14131000000,,1,0,0,0,OFFBOARD,3
15129000000,16,15129000000,,1,1,0,0,OFFBOARD,4
16128000000,17,16128000000,,1,1,0,0,OFFBOARD,4
17127000000,18,17127000000,,1,1,0,0,OFFBOARD,4
18127000000,19,18127000000,,1,1,0,0,OFFBOARD,4
19125000000,20,19125000000,,1,1,0,0,OFFBOARD,4
20124000000,21,20124000000,,1,1,0,0,OFFBOARD,4
21124000000,22,21124000000,,1,1,0,0,OFFBOARD,4
22123000000,23,22123000000,,1,1,0,0,OFFBOARD,4
23122000000,24,23122000000,,1,1,0,0,OFFBOARD,4
24121000000,25,24121000000,,1,1,0,0,OFFBOARD,4
