%time,field.clock
16920000000,16914000000
16920000000,16915000000
16920000000,16916000000
16920000000,16917000000
16920000000,16918000000
16921000000,16919000000
16921000000,16920000000
16921000000,16921000000
16921000000,16922000000
16922000000,16923000000
16923000000,16924000000
16925000000,16925000000
16925000000,16926000000
16927000000,16927000000
16927000000,16928000000
16928000000,16929000000
16929000000,16930000000
16930000000,16931000000
16932000000,16932000000
16933000000,16933000000
16933000000,16934000000
16935000000,16935000000
16936000000,16936000000
16936000000,16937000000
16938000000,16938000000
16938000000,16939000000
16939000000,16940000000
16941000000,16941000000
16941000000,16942000000
16942000000,16943000000
16943000000,16944000000
16945000000,16945000000
16946000000,16946000000
16947000000,16947000000
16948000000,16948000000
16949000000,16949000000
16950000000,16950000000
16951000000,16951000000
16952000000,16952000000
16953000000,16953000000
16954000000,16954000000
16954000000,16955000000
16956000000,16956000000
16957000000,16957000000
16958000000,16958000000
16959000000,16959000000
16960000000,16960000000
16961000000,16961000000
16962000000,16962000000
16963000000,16963000000
16964000000,16964000000
16965000000,16965000000
16966000000,16966000000
16967000000,16967000000
16968000000,16968000000
16969000000,16969000000
16970000000,16970000000
16971000000,16971000000
16972000000,16972000000
16972000000,16973000000
16974000000,16974000000
16975000000,16975000000
16976000000,16976000000
16977000000,16977000000
16978000000,16978000000
16979000000,16979000000
16980000000,16980000000
16980000000,16981000000
16982000000,16982000000
16983000000,16983000000
16984000000,16984000000
16985000000,16985000000
16986000000,16986000000
16987000000,16987000000
16988000000,16988000000
16989000000,16989000000
16990000000,16990000000
16991000000,16991000000
16992000000,16992000000
16993000000,16993000000
16994000000,16994000000
16995000000,16995000000
16996000000,16996000000
16997000000,16997000000
16998000000,16998000000
16999000000,16999000000
17000000000,17000000000
17001000000,17001000000
17002000000,17002000000
17003000000,17003000000
17004000000,17004000000
17005000000,17005000000
17006000000,17006000000
17007000000,17007000000
17008000000,17008000000
17009000000,17009000000
17010000000,17010000000
17011000000,17011000000
17012000000,17012000000
17013000000,17013000000
17014000000,17014000000
17015000000,17015000000
17016000000,17016000000
17017000000,17017000000
17018000000,17018000000
17019000000,17019000000
17020000000,17020000000
17021000000,17021000000
17022000000,17022000000
17023000000,17023000000
17024000000,17024000000
17025000000,17025000000
17026000000,17026000000
17027000000,17027000000
17028000000,17028000000
17029000000,17029000000
17030000000,17030000000
17031000000,17031000000
17032000000,17032000000
17033000000,17033000000
17034000000,17034000000
