%time,field.clock
30373000000,30366000000
30373000000,30367000000
30373000000,30368000000
30373000000,30369000000
30373000000,30370000000
30373000000,30371000000
30373000000,30372000000
30373000000,30373000000
30374000000,30374000000
30375000000,30375000000
30376000000,30376000000
30377000000,30377000000
30378000000,30378000000
30379000000,30379000000
30380000000,30380000000
30381000000,30381000000
30382000000,30382000000
30383000000,30383000000
30384000000,30384000000
30385000000,30385000000
30386000000,30386000000
30386000000,30387000000
30388000000,30388000000
30389000000,30389000000
30390000000,30390000000
30391000000,30391000000
30392000000,30392000000
30393000000,30393000000
30394000000,30394000000
30395000000,30395000000
30395000000,30396000000
30397000000,30397000000
30398000000,30398000000
30399000000,30399000000
30399000000,30400000000
30400000000,30401000000
30402000000,30402000000
30403000000,30403000000
30404000000,30404000000
30405000000,30405000000
30406000000,30406000000
30407000000,30407000000
30408000000,30408000000
30409000000,30409000000
30410000000,30410000000
30411000000,30411000000
30412000000,30412000000
30413000000,30413000000
30414000000,30414000000
30415000000,30415000000
30416000000,30416000000
30417000000,30417000000
30418000000,30418000000
30419000000,30419000000
30420000000,30420000000
30421000000,30421000000
30422000000,30422000000
30423000000,30423000000
30424000000,30424000000
30424000000,30425000000
30425000000,30426000000
30427000000,30427000000
30428000000,30428000000
30429000000,30429000000
30430000000,30430000000
30431000000,30431000000
30432000000,30432000000
30433000000,30433000000
30434000000,30434000000
30435000000,30435000000
30436000000,30436000000
30437000000,30437000000
30438000000,30438000000
30439000000,30439000000
30440000000,30440000000
30441000000,30441000000
30442000000,30442000000
30443000000,30443000000
30444000000,30444000000
30445000000,30445000000
30446000000,30446000000
30447000000,30447000000
30448000000,30448000000
30449000000,30449000000
30450000000,30450000000
30451000000,30451000000
30452000000,30452000000
30453000000,30453000000
30454000000,30454000000
30455000000,30455000000
30456000000,30456000000
30457000000,30457000000
30458000000,30458000000
30459000000,30459000000
30460000000,30460000000
30461000000,30461000000
30462000000,30462000000
30463000000,30463000000
30464000000,30464000000
30465000000,30465000000
30466000000,30466000000
30467000000,30467000000
30468000000,30468000000
30469000000,30469000000
30470000000,30470000000
30471000000,30471000000
30471000000,30472000000
30473000000,30473000000
30474000000,30474000000
30475000000,30475000000
30476000000,30476000000
30477000000,30477000000
30478000000,30478000000
30479000000,30479000000
