%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1759740408539813016,245470,1759740408464778432,base_link,-0.013272750531426554,-0.010452010791651218,0.01771630133100883,-0.999700360939665,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0008614714024588466,0.0011818344937637442,-0.005851492285728455,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.23691610991954803,0.2656125128269208,9.815131187438965,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759740408539824312,245471,1759740408469778432,base_link,-0.013265621951763769,-0.010449982968475012,0.017714910485007965,-0.9997004873802106,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0008790438296273351,0.0002643957850523292,-0.0007556569762527943,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.20066004991531372,0.34847411513328674,9.797539710998535,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759740408539861080,245472,1759740408480778432,base_link,-0.013260062025118997,-0.010443017378577953,0.017699063269967917,-0.9997009088486957,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0016787683125585318,-0.00156828504987061,0.0020056352950632572,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.2689616084098816,0.12805968523025632,9.804901123046875,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759740408539924792,245473,1759740408495778432,base_link,-0.013262408583837065,-0.010458325081029883,0.017716090596766276,-0.9997004030865135,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0133909098804e-05,0.0013073490699753167,0.0017512225313112138,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.1920987069606781,0.33765536546707275,9.80622673034668,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759740408539949624,245474,1759740408501778432,base_link,-0.013269225507311449,-0.010461054418743218,0.017704710947668345,-0.9997004873802106,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.9997900128364563e-06,-0.00032849906710907784,0.002719674725085497,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.25793811678886414,0.20000123977661252,9.809550285339355,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759740408540018200,245475,1759740408516778432,base_link,-0.013298972621281536,-0.010453900649753002,0.017725995106166376,-0.9996998551774829,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.004579428117722273,0.0012597945751622321,0.0013290691422298548,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.16327302157878876,0.3710054457187665,9.792184829711914,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759740408540043256,245476,1759740408527778432,base_link,-0.013306074035983367,-0.01045994905178657,0.017715626981432656,-0.9996998551774828,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00041022850200533867,-0.0003239089564885947,-0.0022497079335153103,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.28137463331222534,0.21613799035549283,9.767915725708008,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759740408544502808,245477,1759740408538777664,base_link,-0.013310263037598647,-0.010465711974775926,0.017733960860534914,-0.9996993915621493,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0005725577939301729,0.0014530078042298553,-0.0025933452416211367,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.15270820260047913,0.34665513038635376,9.793213844299316,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759740408548699256,245478,1759740408543777664,base_link,-0.013317476404866836,-0.010454128506152764,0.01772215974295187,-0.9996996444432403,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0015698937932029366,-0.0018525767372921107,0.0026115784421563153,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.2094147503376007,0.30720242857933167,9.787323951721191,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759740408554563800,245479,1759740408548777664,base_link,-0.013323613875045107,-0.010447830351114544,0.017713561785855668,-0.9996997287369374,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0018695351900532842,-0.003062854520976543,0.004087796434760094,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.24851371347904205,0.16993115842342496,9.79630184173584,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759740408569753560,245480,1759740408559777664,base_link,-0.013336373668795653,-0.010432383695771428,0.01773821769223453,-0.9996993494153008,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.002309972420334816,-0.0021606429945677523,-0.0033427169546484943,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.1881902515888214,0.32512786984443787,9.783920288085938,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759740408575378584,245481,1759740408569777664,base_link,-0.013337941004724652,-0.01044294411550144,0.017711875911915226,-0.9996996444432403,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0007588475709781051,0.0021390907932072887,0.005656454712152481,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.25666341185569763,0.2557785511016858,9.814149856567383,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759740408591358040,245482,1759740408585777664,base_link,-0.013344402149528598,-0.010436319651659514,0.01774361248884389,-0.9996990965342096,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-8.648610673844814e-06,-0.000762873212806881,-0.0041804746724665165,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.16624148190021515,0.31626042723655823,9.775571823120117,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759740408599106456,245483,1759740408591777664,base_link,-0.01333492322451682,-0.010435628015290004,0.017728186742288897,-0.9996995180026947,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.002148783067241311,-0.0001725241163512687,0.004069564398378134,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.2260809689760208,0.27794221043586853,9.802220344543457,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759740408609614616,245484,1759740408601777664,base_link,-0.013334117495311304,-0.010433775858861304,0.017745003334844755,-0.9996992229747552,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0007527421112172306,-0.0008486853330396123,-0.005835720803588629,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.21240554749965668,0.17011035978794217,9.765377044677734,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759740408614888088,245485,1759740408606777664,base_link,-0.01332765519805447,-0.010436294791604338,0.01775541360642699,-0.9996990965342097,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0010569565929472446,0.0006300408858805892,-0.0029686610214412212,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.1774049699306488,0.3127071559429181,9.810324668884277,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
