%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1759739913795596632,177585,1759739913789316992,base_link,-0.016501434968612956,-0.01857210552005,0.025347915484573467,-0.9993699296473396,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0008172632078640163,0.0015919273719191553,0.0026202616281807423,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.4012402296066284,0.226914167404176,9.795639038085938,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913798754104,177586,1759739913795316992,base_link,-0.016504197645142007,-0.01857957399099697,0.025347578309785377,-0.9993697610599456,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0006667192792519927,0.0031608743593096733,-0.00033665879163891115,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.34215986728668213,0.3777206838130963,9.768879890441895,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913805591160,177587,1759739913800316992,base_link,-0.016513492589281864,-0.018574022213840486,0.02533822170941598,-0.9993700139410366,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0020434758625924587,-0.000772596104070544,0.0018101093592122197,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.3290047347545624,0.39859580993652466,9.83632755279541,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913810762744,177588,1759739913805316992,base_link,-0.016518072601698755,-0.018570701338522858,0.025326589179226925,-0.9993702668221277,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.001962577924132347,-0.0010294057428836818,0.003919839859008789,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.4195653796195984,0.3295663595199597,9.790940284729004,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913816872632,177589,1759739913811316992,base_link,-0.016514526257205207,-0.01856642154008354,0.02532473471789249,-0.9993704354095218,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.001367504708468914,-0.001918790047056973,-0.0007618680829182265,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.398404598236084,0.240629166364671,9.752128601074219,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913825976472,177590,1759739913821316992,base_link,-0.016515608492786014,-0.018572638611829215,0.02534083481402361,-0.9993699296473396,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0010077125625684857,0.0020078967791050673,-0.0009701052913442256,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.3044176399707794,0.3987877964973462,9.839576721191406,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913834383000,177591,1759739913826316992,base_link,-0.016513962296152183,-0.01857763548291966,0.02531992997716223,-0.9993703511158247,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0006459413561969995,0.0017336257733404643,0.005721495021134615,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.392488569021225,0.36133897304535034,9.803428649902344,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913837696056,177592,1759739913832316992,base_link,-0.016512573343466785,-0.018575673761148444,0.02530732806945748,-0.9993707304374613,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00040047516813501716,-0.00041043074452318213,0.0032463837414979935,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.44592782855033875,0.2460944652557385,9.7777681350708,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913844662648,177593,1759739913837316480,base_link,-0.016514591206157305,-0.018572936767855205,0.025325493361165637,-0.9993702668221277,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0019223345443606377,-0.0010737609118223195,-0.0031644259579479694,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.37949007749557495,0.2747265398502362,9.786693572998047,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913850609112,177594,1759739913848316480,base_link,-0.016499312315027596,-0.018573938414051847,0.025318496984312853,-0.9993706882906128,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00260293111205101,0.00020210832008160656,0.00035960576497018337,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.3459484875202179,0.3652933239936841,9.762592315673828,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913857656632,177595,1759739913853316480,base_link,-0.01650102658869994,-0.018574081235892013,0.02531318648140046,-0.9993707725843098,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00031220033997669816,0.0004584329144563529,0.002742669079452753,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.41367068886756897,0.2412985861301434,9.792034149169922,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913863513272,177596,1759739913858316480,base_link,-0.016505701925434366,-0.018579478995951696,0.025324861158437968,-0.9993703089689762,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0027460181154310703,0.0006942104082554574,-0.0038628950715065002,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.38351577520370483,0.2707091867923749,9.805397987365723,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913867888568,177597,1759739913864316480,base_link,-0.016517965011989766,-0.018583877085448258,0.025347030400754735,-0.999369466032006,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.003914847504347563,0.0010181809775531283,-0.006328003015369177,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.3611217141151428,0.3661877512931836,9.792542457580566,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913872866584,177598,1759739913869316480,base_link,-0.01652485042409298,-0.018590979158694596,0.025336535835475536,-0.9993695081788545,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0033889655023813248,0.0028162954840809107,-0.0016102306544780736,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.34059301018714905,0.40805771946907166,9.80933952331543,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913879075864,177599,1759739913874316480,base_link,-0.016529947146994448,-0.018592878812645937,0.025319550655525633,-0.9993698032067941,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0024569802917540073,0.0017503332346677787,0.0054130032658576965,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.38739341497421265,0.3260082304477704,9.80479621887207,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913884528120,177600,1759739913879316480,base_link,-0.016530026666243786,-0.0185914216182859,0.025319845683465212,-0.9993698453536426,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0008435106137767434,0.0001800888276193293,0.00180016306694597,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.4412788152694702,0.23902314901352048,9.772204399108887,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913890626776,177601,1759739913885316480,base_link,-0.01652033988812168,-0.018602499242408865,0.025339106793234655,-0.9993692974446119,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.004373228643089533,0.0003232850867789234,-0.004182395525276661,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.38002443313598633,0.32658550143242004,9.775017738342285,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913896489208,177602,1759739913890316480,base_link,-0.016506866643714795,-0.018608077855254052,0.025335945779596383,-0.9993695081788545,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0036161397583782673,0.0033410864416509867,-0.00026023457758128686,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.3310937285423279,0.4127112627029431,9.772168159484863,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913903425144,177603,1759739913901316480,base_link,-0.016494072358695645,-0.01861889387257122,0.025311205579520442,-0.9993701403815821,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.003032321110367775,0.0022982014343142514,0.0044122058898210526,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.4046957790851593,0.2442137598991406,9.805315971374512,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913913154776,177604,1759739913906316480,base_link,-0.016501275436205894,-0.01861747545001909,0.025334639227292538,-0.999369466032006,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.00019593554316088557,-0.0003208658308722082,-0.002592632547020912,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.38902363181114197,0.2560771107673657,9.778839111328125,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759739913915530840,177605,1759739913911316480,base_link,-0.016494989052650753,-0.018624923506086313,0.025337926681476348,-0.9993693817383089,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0004075854958500713,0.0018403853755444284,-0.0035618320107460026,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.3189019560813904,0.3943442702293408,9.800736427307129,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
