%time,field.clock
50086000000,50079000000
50086000000,50080000000
50086000000,50081000000
50086000000,50082000000
50086000000,50083000000
50086000000,50084000000
50086000000,50085000000
50086000000,50086000000
50087000000,50087000000
50087000000,50088000000
50089000000,50089000000
50090000000,50090000000
50090000000,50091000000
50092000000,50092000000
50092000000,50093000000
50094000000,50094000000
50094000000,50095000000
50096000000,50096000000
50097000000,50097000000
50097000000,50098000000
50099000000,50099000000
50099000000,50100000000
50101000000,50101000000
50101000000,50102000000
50102000000,50103000000
50103000000,50104000000
50104000000,50105000000
50105000000,50106000000
50107000000,50107000000
50108000000,50108000000
50109000000,50109000000
50110000000,50110000000
50111000000,50111000000
50112000000,50112000000
50112000000,50113000000
50113000000,50114000000
50115000000,50115000000
50115000000,50116000000
50117000000,50117000000
50118000000,50118000000
50118000000,50119000000
50119000000,50120000000
50121000000,50121000000
50121000000,50122000000
50122000000,50123000000
50124000000,50124000000
50125000000,50125000000
50126000000,50126000000
50127000000,50127000000
50127000000,50128000000
50128000000,50129000000
50129000000,50130000000
50131000000,50131000000
50131000000,50132000000
50133000000,50133000000
50134000000,50134000000
50134000000,50135000000
50136000000,50136000000
50137000000,50137000000
50138000000,50138000000
50139000000,50139000000
50139000000,50140000000
50141000000,50141000000
50141000000,50142000000
50143000000,50143000000
50144000000,50144000000
50144000000,50145000000
50146000000,50146000000
50147000000,50147000000
50148000000,50148000000
50149000000,50149000000
50149000000,50150000000
50151000000,50151000000
50152000000,50152000000
50153000000,50153000000
50154000000,50154000000
50154000000,50155000000
50155000000,50156000000
50156000000,50157000000
50157000000,50158000000
50159000000,50159000000
50160000000,50160000000
50161000000,50161000000
50162000000,50162000000
50162000000,50163000000
50164000000,50164000000
50165000000,50165000000
50166000000,50166000000
50166000000,50167000000
50167000000,50168000000
50169000000,50169000000
50170000000,50170000000
50171000000,50171000000
50172000000,50172000000
50173000000,50173000000
50174000000,50174000000
50175000000,50175000000
50176000000,50176000000
50177000000,50177000000
50178000000,50178000000
50179000000,50179000000
50180000000,50180000000
50181000000,50181000000
50182000000,50182000000
50183000000,50183000000
50184000000,50184000000
50185000000,50185000000
50185000000,50186000000
50187000000,50187000000
50188000000,50188000000
50189000000,50189000000
50190000000,50190000000
50191000000,50191000000
50192000000,50192000000
50193000000,50193000000
50194000000,50194000000
50195000000,50195000000
50196000000,50196000000
50197000000,50197000000
