%time,field.clock
40084000000,40074000000
40084000000,40075000000
40084000000,40076000000
40084000000,40077000000
40084000000,40078000000
40084000000,40079000000
40084000000,40080000000
40084000000,40081000000
40084000000,40082000000
40084000000,40083000000
40084000000,40084000000
40085000000,40085000000
40086000000,40086000000
40087000000,40087000000
40088000000,40088000000
40089000000,40089000000
40090000000,40090000000
40091000000,40091000000
40092000000,40092000000
40093000000,40093000000
40094000000,40094000000
40095000000,40095000000
40096000000,40096000000
40097000000,40097000000
40098000000,40098000000
40099000000,40099000000
40100000000,40100000000
40101000000,40101000000
40102000000,40102000000
40103000000,40103000000
40104000000,40104000000
40105000000,40105000000
40106000000,40106000000
40107000000,40107000000
40108000000,40108000000
40109000000,40109000000
40110000000,40110000000
40111000000,40111000000
40112000000,40112000000
40113000000,40113000000
40114000000,40114000000
40115000000,40115000000
40116000000,40116000000
40117000000,40117000000
40118000000,40118000000
40119000000,40119000000
40120000000,40120000000
40121000000,40121000000
40122000000,40122000000
40123000000,40123000000
40124000000,40124000000
40125000000,40125000000
40126000000,40126000000
40127000000,40127000000
40128000000,40128000000
40129000000,40129000000
40130000000,40130000000
40131000000,40131000000
40132000000,40132000000
40133000000,40133000000
40134000000,40134000000
40135000000,40135000000
40136000000,40136000000
40137000000,40137000000
40138000000,40138000000
40139000000,40139000000
40140000000,40140000000
40141000000,40141000000
40142000000,40142000000
40143000000,40143000000
40144000000,40144000000
40145000000,40145000000
40146000000,40146000000
40147000000,40147000000
40148000000,40148000000
40149000000,40149000000
40150000000,40150000000
40151000000,40151000000
40152000000,40152000000
40153000000,40153000000
40154000000,40154000000
40155000000,40155000000
40156000000,40156000000
40157000000,40157000000
40158000000,40158000000
40159000000,40159000000
40160000000,40160000000
40161000000,40161000000
40162000000,40162000000
40163000000,40163000000
40164000000,40164000000
40165000000,40165000000
40166000000,40166000000
40167000000,40167000000
40168000000,40168000000
40169000000,40169000000
40169000000,40170000000
40171000000,40171000000
40172000000,40172000000
40173000000,40173000000
40174000000,40174000000
40175000000,40175000000
40176000000,40176000000
40177000000,40177000000
40178000000,40178000000
40179000000,40179000000
40180000000,40180000000
40181000000,40181000000
40182000000,40182000000
40183000000,40183000000
40184000000,40184000000
40185000000,40185000000
40186000000,40186000000
40187000000,40187000000
40188000000,40188000000
40189000000,40189000000
40190000000,40190000000
40191000000,40191000000
40192000000,40192000000
40193000000,40193000000
40194000000,40194000000
40195000000,40195000000
40196000000,40196000000
40197000000,40197000000
40197000000,40198000000
40199000000,40199000000
40200000000,40200000000
40201000000,40201000000
40202000000,40202000000
40203000000,40203000000
