%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
288335000000,23798,288335000000,map,-0.4102175800402118,0.023754826268117753,0.09284424351314864,0.0,0.0,0.0,0.0
288337000000,23799,288337000000,map,-0.4102175800402118,0.023754826268117753,0.09284424351314864,0.0,0.0,0.0,0.0
288339000000,23800,288339000000,map,-0.4102175800402118,0.023754826268117753,0.09284424351314864,0.0,0.0,0.0,0.0
288341000000,23801,288341000000,map,-0.40197064843477687,0.024461557932971157,0.09338234137010323,0.0,0.0,0.0,0.0
288343000000,23802,288343000000,map,-0.40197064843477687,0.024461557932971157,0.09338234137010323,0.0,0.0,0.0,0.0
288345000000,23803,288345000000,map,-0.40197064843477687,0.024461557932971157,0.09338234137010323,0.0,0.0,0.0,0.0
288347000000,23804,288347000000,map,-0.40197064843477687,0.024461557932971157,0.09338234137010323,0.0,0.0,0.0,0.0
288349000000,23805,288349000000,map,-0.40197064843477687,0.024461557932971157,0.09338234137010323,0.0,0.0,0.0,0.0
288351000000,23806,288351000000,map,-0.39326585504210976,0.025260470252184957,0.09388629838589072,0.0,0.0,0.0,0.0
288353000000,23807,288353000000,map,-0.39326585504210976,0.025260470252184957,0.09388629838589072,0.0,0.0,0.0,0.0
288355000000,23808,288355000000,map,-0.39326585504210976,0.025260470252184957,0.09388629838589072,0.0,0.0,0.0,0.0
288357000000,23809,288357000000,map,-0.39326585504210976,0.025260470252184957,0.09388629838589072,0.0,0.0,0.0,0.0
288359000000,23810,288359000000,map,-0.39326585504210976,0.025260470252184957,0.09388629838589072,0.0,0.0,0.0,0.0
288361000000,23811,288361000000,map,-0.39326585504210976,0.025260470252184957,0.09388629838589072,0.0,0.0,0.0,0.0
288363000000,23812,288363000000,map,-0.3751718628653881,0.02697756741276459,0.09478359034303775,0.0,0.0,0.0,0.0
288365000000,23813,288365000000,map,-0.3751718628653881,0.02697756741276459,0.09478359034303775,0.0,0.0,0.0,0.0
288367000000,23814,288367000000,map,-0.3751718628653881,0.02697756741276459,0.09478359034303775,0.0,0.0,0.0,0.0
288369000000,23815,288369000000,map,-0.3751718628653881,0.02697756741276459,0.09478359034303775,0.0,0.0,0.0,0.0
288371000000,23816,288371000000,map,-0.3751718628653881,0.02697756741276459,0.09478359034303775,0.0,0.0,0.0,0.0
288373000000,23817,288373000000,map,-0.3751718628653881,0.02697756741276459,0.09478359034303775,0.0,0.0,0.0,0.0
288375000000,23818,288375000000,map,-0.3751718628653881,0.02697756741276459,0.09478359034303775,0.0,0.0,0.0,0.0
288377000000,23819,288377000000,map,-0.3612950198187605,0.027948106216285348,0.09546762189456867,0.0,0.0,0.0,0.0
288379000000,23820,288379000000,map,-0.3612950198187605,0.027948106216285348,0.09546762189456867,0.0,0.0,0.0,0.0
288381000000,23821,288381000000,map,-0.3612950198187605,0.027948106216285348,0.09546762189456867,0.0,0.0,0.0,0.0
288383000000,23822,288383000000,map,-0.3612950198187605,0.027948106216285348,0.09546762189456867,0.0,0.0,0.0,0.0
288385000000,23823,288385000000,map,-0.3518386634321215,0.02852944849650876,0.09593201930678859,0.0,0.0,0.0,0.0
288387000000,23824,288387000000,map,-0.3518386634321215,0.02852944849650876,0.09593201930678859,0.0,0.0,0.0,0.0
288389000000,23825,288389000000,map,-0.3518386634321215,0.02852944849650876,0.09593201930678859,0.0,0.0,0.0,0.0
288391000000,23826,288391000000,map,-0.3518386634321215,0.02852944849650876,0.09593201930678859,0.0,0.0,0.0,0.0
288393000000,23827,288393000000,map,-0.34700300258963906,0.028826739094125486,0.09615827214599139,0.0,0.0,0.0,0.0
288395000000,23828,288395000000,map,-0.34700300258963906,0.028826739094125486,0.09615827214599139,0.0,0.0,0.0,0.0
288397000000,23829,288397000000,map,-0.34700300258963906,0.028826739094125486,0.09615827214599139,0.0,0.0,0.0,0.0
288399000000,23830,288399000000,map,-0.34700300258963906,0.028826739094125486,0.09615827214599139,0.0,0.0,0.0,0.0
288401000000,23831,288401000000,map,-0.332273015630986,0.029647320842706548,0.09681373141240429,0.0,0.0,0.0,0.0
288403000000,23832,288403000000,map,-0.332273015630986,0.029647320842706548,0.09681373141240429,0.0,0.0,0.0,0.0
288405000000,23833,288405000000,map,-0.332273015630986,0.029647320842706548,0.09681373141240429,0.0,0.0,0.0,0.0
288407000000,23834,288407000000,map,-0.3228595073467193,0.029965410800431237,0.0972415530364505,0.0,0.0,0.0,0.0
288409000000,23835,288409000000,map,-0.3228595073467193,0.029965410800431237,0.0972415530364505,0.0,0.0,0.0,0.0
288411000000,23836,288411000000,map,-0.3228595073467193,0.029965410800431237,0.0972415530364505,0.0,0.0,0.0,0.0
288413000000,23837,288413000000,map,-0.3228595073467193,0.029965410800431237,0.0972415530364505,0.0,0.0,0.0,0.0
288415000000,23838,288415000000,map,-0.3135901948275353,0.030185751119165834,0.0976758913710056,0.0,0.0,0.0,0.0
288417000000,23839,288417000000,map,-0.3135901948275353,0.030185751119165834,0.0976758913710056,0.0,0.0,0.0,0.0
288419000000,23840,288419000000,map,-0.3135901948275353,0.030185751119165834,0.0976758913710056,0.0,0.0,0.0,0.0
288425000000,23841,288421000000,map,-0.3135901948275353,0.030185751119165834,0.0976758913710056,0.0,0.0,0.0,0.0
288425000000,23842,288423000000,map,-0.3135901948275353,0.030185751119165834,0.0976758913710056,0.0,0.0,0.0,0.0
288425000000,23843,288425000000,map,-0.3135901948275353,0.030185751119165834,0.0976758913710056,0.0,0.0,0.0,0.0
288427000000,23844,288427000000,map,-0.3135901948275353,0.030185751119165834,0.0976758913710056,0.0,0.0,0.0,0.0
288429000000,23845,288429000000,map,-0.3043315677158633,0.03045790089651402,0.09808783497692518,0.0,0.0,0.0,0.0
288431000000,23846,288431000000,map,-0.3043315677158633,0.03045790089651402,0.09808783497692518,0.0,0.0,0.0,0.0
288433000000,23847,288433000000,map,-0.2899926694839182,0.03094846747085737,0.0986222244673062,0.0,0.0,0.0,0.0
288435000000,23848,288435000000,map,-0.2899926694839182,0.03094846747085737,0.0986222244673062,0.0,0.0,0.0,0.0
288437000000,23849,288437000000,map,-0.2899926694839182,0.03094846747085737,0.0986222244673062,0.0,0.0,0.0,0.0
288439000000,23850,288439000000,map,-0.2852957742708937,0.0310543231823483,0.09881720870254843,0.0,0.0,0.0,0.0
288441000000,23851,288441000000,map,-0.2852957742708937,0.0310543231823483,0.09881720870254843,0.0,0.0,0.0,0.0
288443000000,23852,288443000000,map,-0.2852957742708937,0.0310543231823483,0.09881720870254843,0.0,0.0,0.0,0.0
288445000000,23853,288445000000,map,-0.2852957742708937,0.0310543231823483,0.09881720870254843,0.0,0.0,0.0,0.0
288447000000,23854,288447000000,map,-0.28052155689854696,0.031116376235347024,0.09899913839243187,0.0,0.0,0.0,0.0
288449000000,23855,288449000000,map,-0.28052155689854696,0.031116376235347024,0.09899913839243187,0.0,0.0,0.0,0.0
288451000000,23856,288451000000,map,-0.28052155689854696,0.031116376235347024,0.09899913839243187,0.0,0.0,0.0,0.0
288453000000,23857,288453000000,map,-0.28052155689854696,0.031116376235347024,0.09899913839243187,0.0,0.0,0.0,0.0
