%time,field.clock
288113000000,288105000000
288113000000,288106000000
288113000000,288107000000
288113000000,288108000000
288113000000,288109000000
288113000000,288110000000
288113000000,288111000000
288113000000,288112000000
288113000000,288113000000
288114000000,288114000000
288115000000,288115000000
288116000000,288116000000
288117000000,288117000000
288118000000,288118000000
288119000000,288119000000
288120000000,288120000000
288121000000,288121000000
288122000000,288122000000
288123000000,288123000000
288124000000,288124000000
288125000000,288125000000
288126000000,288126000000
288127000000,288127000000
288128000000,288128000000
288129000000,288129000000
288130000000,288130000000
288131000000,288131000000
288132000000,288132000000
288133000000,288133000000
288134000000,288134000000
288135000000,288135000000
288136000000,288136000000
288137000000,288137000000
288138000000,288138000000
288139000000,288139000000
288140000000,288140000000
288141000000,288141000000
288142000000,288142000000
288143000000,288143000000
288144000000,288144000000
288145000000,288145000000
288145000000,288146000000
288146000000,288147000000
288147000000,288148000000
288148000000,288149000000
288149000000,288150000000
288151000000,288151000000
288152000000,288152000000
288152000000,288153000000
288154000000,288154000000
288155000000,288155000000
288155000000,288156000000
288156000000,288157000000
288157000000,288158000000
288158000000,288159000000
288160000000,288160000000
288161000000,288161000000
288162000000,288162000000
288163000000,288163000000
288164000000,288164000000
288165000000,288165000000
288166000000,288166000000
288167000000,288167000000
288168000000,288168000000
288169000000,288169000000
288170000000,288170000000
288171000000,288171000000
288172000000,288172000000
288173000000,288173000000
288174000000,288174000000
288175000000,288175000000
288176000000,288176000000
288177000000,288177000000
288178000000,288178000000
288179000000,288179000000
288180000000,288180000000
288181000000,288181000000
288182000000,288182000000
288183000000,288183000000
288184000000,288184000000
288184000000,288185000000
288186000000,288186000000
288187000000,288187000000
288188000000,288188000000
288189000000,288189000000
288189000000,288190000000
288191000000,288191000000
288192000000,288192000000
288193000000,288193000000
288194000000,288194000000
288195000000,288195000000
288196000000,288196000000
288197000000,288197000000
288197000000,288198000000
288199000000,288199000000
288200000000,288200000000
288201000000,288201000000
288202000000,288202000000
288203000000,288203000000
288204000000,288204000000
288205000000,288205000000
288206000000,288206000000
288207000000,288207000000
288208000000,288208000000
288209000000,288209000000
288210000000,288210000000
288210000000,288211000000
288212000000,288212000000
288212000000,288213000000
288214000000,288214000000
288215000000,288215000000
288215000000,288216000000
288217000000,288217000000
288217000000,288218000000
288219000000,288219000000
288220000000,288220000000
288221000000,288221000000
288222000000,288222000000
288222000000,288223000000
288224000000,288224000000
288225000000,288225000000
288226000000,288226000000
288227000000,288227000000
288228000000,288228000000
288228000000,288229000000
288230000000,288230000000
288231000000,288231000000
288232000000,288232000000
288233000000,288233000000
288234000000,288234000000
288235000000,288235000000
288236000000,288236000000
288237000000,288237000000
288238000000,288238000000
288239000000,288239000000
288240000000,288240000000
288241000000,288241000000
288242000000,288242000000
288243000000,288243000000
288244000000,288244000000
288245000000,288245000000
288246000000,288246000000
288247000000,288247000000
288248000000,288248000000
288249000000,288249000000
288250000000,288250000000
288251000000,288251000000
288251000000,288252000000
288253000000,288253000000
288254000000,288254000000
288255000000,288255000000
288256000000,288256000000
288257000000,288257000000
288258000000,288258000000
288258000000,288259000000
288260000000,288260000000
288261000000,288261000000
288261000000,288262000000
288263000000,288263000000
288264000000,288264000000
288265000000,288265000000
288266000000,288266000000
288267000000,288267000000
288268000000,288268000000
288269000000,288269000000
288270000000,288270000000
288271000000,288271000000
288272000000,288272000000
288273000000,288273000000
288274000000,288274000000
288275000000,288275000000
288276000000,288276000000
288277000000,288277000000
288277000000,288278000000
288279000000,288279000000
288280000000,288280000000
288281000000,288281000000
288282000000,288282000000
288282000000,288283000000
288284000000,288284000000
288284000000,288285000000
288286000000,288286000000
288287000000,288287000000
288288000000,288288000000
288289000000,288289000000
288290000000,288290000000
288291000000,288291000000
288291000000,288292000000
288293000000,288293000000
288293000000,288294000000
288294000000,288295000000
288296000000,288296000000
288297000000,288297000000
288298000000,288298000000
288299000000,288299000000
288299000000,288300000000
288300000000,288301000000
288302000000,288302000000
288302000000,288303000000
288304000000,288304000000
288305000000,288305000000
288306000000,288306000000
288307000000,288307000000
288307000000,288308000000
288308000000,288309000000
288310000000,288310000000
288310000000,288311000000
288311000000,288312000000
288313000000,288313000000
288314000000,288314000000
288314000000,288315000000
288315000000,288316000000
288317000000,288317000000
288317000000,288318000000
288318000000,288319000000
288320000000,288320000000
288320000000,288321000000
288322000000,288322000000
288322000000,288323000000
288324000000,288324000000
288325000000,288325000000
288326000000,288326000000
288327000000,288327000000
288327000000,288328000000
288328000000,288329000000
288329000000,288330000000
288330000000,288331000000
288331000000,288332000000
288333000000,288333000000
288334000000,288334000000
