%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z,field.r,field.buttons
288224000000,7086,288223000000,,0.0,0.0,0.5,0.0,0
288258000000,7087,288258000000,,0.0,0.0,0.5,0.0,0
288307000000,7088,288307000000,,0.0,0.0,0.5,0.0,0
288356000000,7089,288356000000,,0.0,0.0,0.5,0.0,0
288389000000,7090,288389000000,,0.0,0.0,0.5,0.0,0
288425000000,7091,288421000000,,0.0,0.0,0.5,0.0,0
288455000000,7092,288455000000,,0.0,0.0,0.5,0.0,0
288506000000,7093,288505000000,,0.0,0.0,0.5,0.0,0
288556000000,7094,288556000000,,0.0,0.0,0.5,0.0,0
288589000000,7095,288589000000,,0.0,0.0,0.5,0.0,0
288622000000,7096,288622000000,,0.0,0.0,0.5,0.0,0
288656000000,7097,288656000000,,0.0,0.0,0.5,0.0,0
288705000000,7098,288705000000,,0.0,0.0,0.5,0.0,0
288755000000,7099,288755000000,,0.0,0.0,0.5,0.0,0
288790000000,7100,288790000000,,0.0,0.0,0.5,0.0,0
288823000000,7101,288823000000,,0.0,0.0,0.5,0.0,0
288871000000,7102,288871000000,,0.0,0.0,0.5,0.0,0
288906000000,7103,288906000000,,0.0,0.0,0.5,0.0,0
288956000000,7104,288956000000,,0.0,0.0,0.5,0.0,0
288971000000,7105,288971000000,,0.0,0.0,0.5,0.0,0
289006000000,7106,289006000000,,0.0,0.0,0.5,0.0,0
289056000000,7107,289056000000,,0.0,0.0,0.5,0.0,0
289106000000,7108,289106000000,,0.0,0.0,0.5,0.0,0
289156000000,7109,289156000000,,0.0,0.0,0.5,0.0,0
289189000000,7110,289189000000,,0.0,0.0,0.5,0.0,0
289222000000,7111,289222000000,,0.0,0.0,0.5,0.0,0
289272000000,7112,289272000000,,0.0,0.0,0.5,0.0,0
289305000000,7113,289305000000,,0.0,0.0,0.5,0.0,0
289356000000,7114,289356000000,,0.0,0.0,0.5,0.0,0
289389000000,7115,289389000000,,0.0,0.0,0.5,0.0,0
289422000000,7116,289422000000,,0.0,0.0,0.5,0.0,0
289456000000,7117,289456000000,,0.0,0.0,0.5,0.0,0
289505000000,7118,289505000000,,0.0,0.0,0.5,0.0,0
289555000000,7119,289555000000,,0.0,0.0,0.5,0.0,0
289589000000,7120,289589000000,,0.0,0.0,0.5,0.0,0
289605000000,7121,289605000000,,0.0,0.0,0.5,0.0,0
289655000000,7122,289655000000,,0.0,0.0,0.5,0.0,0
289705000000,7123,289705000000,,0.0,0.0,0.5,0.0,0
