%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1759809293989164320,4063,1759809293988597824,map,-0.007336441120044295,0.022152746697877215,-0.034759659491718234,0.0,0.0,0.0,0.0
1759809293991229280,4064,1759809293990657536,map,-0.007336441120044295,0.022152746697877215,-0.034759659491718234,0.0,0.0,0.0,0.0
1759809293997339808,4065,1759809293996975200,map,-0.007336441120044295,0.022152746697877215,-0.034759659491718234,0.0,0.0,0.0,0.0
1759809293999263776,4066,1759809293998072160,map,-0.007336441120044295,0.022152746697877215,-0.034759659491718234,0.0,0.0,0.0,0.0
1759809294000265568,4067,1759809293999831104,map,-0.007336441120044295,0.022152746697877215,-0.034759659491718234,0.0,0.0,0.0,0.0
1759809294002958784,4068,1759809294001665088,map,-0.007349025229589672,0.0221616659486052,-0.03481244414595491,0.0,0.0,0.0,0.0
1759809294004564288,4069,1759809294004309344,map,-0.007349025229589672,0.0221616659486052,-0.03481244414595491,0.0,0.0,0.0,0.0
1759809294007024384,4070,1759809294005477280,map,-0.007349025229589672,0.0221616659486052,-0.03481244414595491,0.0,0.0,0.0,0.0
1759809294007909888,4071,1759809294007707264,map,-0.007356539742649913,0.022192575973002726,-0.03479241230892808,0.0,0.0,0.0,0.0
1759809294009755328,4072,1759809294009497184,map,-0.007356539742649913,0.022192575973002726,-0.03479241230892808,0.0,0.0,0.0,0.0
1759809294011637472,4073,1759809294011466304,map,-0.007356539742649913,0.022192575973002726,-0.03479241230892808,0.0,0.0,0.0,0.0
1759809294013693600,4074,1759809294013491232,map,-0.007356539742649913,0.022192575973002726,-0.03479241230892808,0.0,0.0,0.0,0.0
1759809294015580192,4075,1759809294015452032,map,-0.007356539742649913,0.022192575973002726,-0.03479241230892808,0.0,0.0,0.0,0.0
1759809294017821184,4076,1759809294017615360,map,-0.0073808251390863255,0.0221711833922244,-0.03483028633550261,0.0,0.0,0.0,0.0
1759809294022558336,4077,1759809294022343776,map,-0.0073808251390863255,0.0221711833922244,-0.03483028633550261,0.0,0.0,0.0,0.0
1759809294023586400,4078,1759809294023385120,map,-0.0073808251390863255,0.0221711833922244,-0.03483028633550261,0.0,0.0,0.0,0.0
1759809294024763712,4079,1759809294024444928,map,-0.0073808251390863255,0.0221711833922244,-0.03483028633550261,0.0,0.0,0.0,0.0
1759809294026680512,4080,1759809294025530272,map,-0.0073808251390863255,0.0221711833922244,-0.03483028633550261,0.0,0.0,0.0,0.0
1759809294027733408,4081,1759809294027510208,map,-0.0073808251390863255,0.0221711833922244,-0.03483028633550261,0.0,0.0,0.0,0.0
1759809294029930048,4082,1759809294029629504,map,-0.0073808251390863255,0.0221711833922244,-0.03483028633550261,0.0,0.0,0.0,0.0
1759809294032237472,4083,1759809294031786464,map,-0.007417087099816725,0.022142117857226706,-0.034797105531777416,0.0,0.0,0.0,0.0
1759809294034518880,4084,1759809294033773984,map,-0.007417087099816725,0.022142117857226706,-0.034797105531777416,0.0,0.0,0.0,0.0
