%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1759809293773718240,38757,1759809293764748096,map,0.03577813878655434,-0.07613928616046906,1.0310004949569702,0.003525825893043028,-0.0111300584245101,0.01737567050134379,-0.9997809457140179
1759809293778185248,38758,1759809293774748096,map,0.035765599459409714,-0.07613524794578552,1.0310002565383911,0.0035160807514139,-0.011133743639576772,0.017374827564373568,-0.9997809457140179
1759809293791138016,38759,1759809293788748096,map,0.035753268748521805,-0.07612821459770203,1.0310004949569702,0.0035186767338643682,-0.011148473963131329,0.017389578961352386,-0.9997804399518357
1759809293798937184,38760,1759809293794748096,map,0.03573937714099884,-0.0761255994439125,1.0310020446777344,0.0035287442330301537,-0.01112870873754099,0.017377229934738697,-0.9997809035671693
1759809293808059264,38761,1759809293804746816,map,0.03572878986597061,-0.07612741738557816,1.0310046672821045,0.0035351838105014627,-0.011144405475161013,0.017404498945725246,-0.9997801870707447
1759809293823105408,38762,1759809293818746816,map,0.035718049854040146,-0.0761309266090393,1.0310081243515015,0.003523589805166173,-0.011137358719653342,0.01736568169824672,-0.9997809878608663
1759809293830969568,38763,1759809293824746816,map,0.03570568934082985,-0.07613711804151535,1.0310121774673462,0.003506531526775897,-0.011127633992903962,0.017401801547420537,-0.9997805242455328
1759809293839633472,38764,1759809293835746816,map,0.035695113241672516,-0.07613986730575562,1.03101646900177,0.003522330338794656,-0.011137713345870891,0.017413939839791726,-0.9997801027770477
1759809293853147328,38765,1759809293848746816,map,0.035682614892721176,-0.07614679634571075,1.0310215950012207,0.003497760372474075,-0.011141752528610605,0.01738983184244345,-0.9997806085392298
1759809293860072576,38766,1759809293854746816,map,0.0356716550886631,-0.07615076005458832,1.0310273170471191,0.0034942295860945255,-0.011143472317593201,0.0173749540049191,-0.9997809035671693
1759809293867530752,38767,1759809293864746816,map,0.035657282918691635,-0.07615578174591064,1.031035304069519,0.0034942295860945255,-0.011143472317593201,0.0173749540049191,-0.9997809035671693
1759809293878390176,38768,1759809293873746816,map,0.035644982010126114,-0.07616139948368073,1.0310441255569458,0.003498547662433368,-0.011147793028110076,0.017387176590987253,-0.9997805663923812
1759809293888486784,38769,1759809293884746816,map,0.03563349321484566,-0.0761689692735672,1.0310516357421875,0.003490555237012236,-0.01114005941068058,0.01739139127583836,-0.9997806506860782
