%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1759809522587643968,188278,1759809522491924288,base_link,0.0009972164970088297,-0.009854049414952624,0.019902879831754046,-0.9997528759129096,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00034158979542553425,0.0008799590868875378,-0.005156663712114096,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.18129649758338928,-0.020317034795879117,9.79905891418457,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759809522587676672,188279,1759809522502923008,base_link,0.0010081368113124527,-0.009845063245868946,0.019884377365257742,-0.9997533395282432,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0008380593499168754,-0.0023251499515026803,0.003862175159156323,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.18228784203529358,0.013620022684336914,9.842569351196289,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759809522587690464,188280,1759809522506923008,base_link,0.001002830259667128,-0.009834367824514799,0.01988947713392758,-0.9997533816750918,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0010363339679315686,0.0003097006119787692,-0.0006857806583866477,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.19525372982025146,-0.049763496965168706,9.816521644592285,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759809522587713920,188281,1759809522517923008,base_link,0.0009978161017833481,-0.00984066087583308,0.01990658875442302,-0.9997529602066066,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0002057685051113367,0.0012495815753936763,-0.003971930127590895,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.18100591003894806,0.02640839293599249,9.820610046386719,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759809522587732640,188282,1759809522521923008,base_link,0.0010092639102378656,-0.009840142272033045,0.019908190334666384,-0.9997528759129096,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.003950479440391064,6.438652053475358e-05,-0.0017456983914598823,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.16187258064746857,0.074112191796304,9.826631546020508,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759809522587758240,188283,1759809522530923008,base_link,0.0010141401030472237,-0.009850420505441385,0.019896431363931853,-0.9997530023534551,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.002664795843884349,-0.0019025544170290225,0.005620705429464579,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.209082692861557,0.009366859681905516,9.806320190429688,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759809522587771232,188284,1759809522536923008,base_link,0.0010220976256094332,-0.009841884780801167,0.019896178482840785,-0.9997530866471521,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.001128536881878972,0.0016238301759585736,-0.0018591693369671705,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.2201201319694519,-0.06634029746055484,9.75430965423584,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759809522587797856,188285,1759809522541923008,base_link,0.0010126142554222279,-0.009851595348843627,0.01990578796430131,-0.999752833766061,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0013836100697517395,0.0026120990514755245,-0.003946961369365454,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.18438421189785004,0.01832132786512495,9.806818962097168,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759809522587815712,188286,1759809522551923008,base_link,0.001024339969659114,-0.00985596051111479,0.01989630492338632,-0.9997529602066066,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.002261415356770158,0.00010846694931387932,0.0025897228624671698,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.1968107372522354,-0.03658365458249926,9.803988456726074,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759809522587830720,188287,1759809522560923008,base_link,0.0010226455346400746,-0.009856477468553556,0.019893818259324167,-0.9997530023534551,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0007634749636054039,-0.0007616584189236166,-0.001967660617083311,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.23690219223499298,-0.10552041977643847,9.798333168029785,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759809522587843136,188288,1759809522566923008,base_link,0.001026191796815561,-0.009854405028986934,0.019915692473701355,-0.9997526230318186,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.000493254279717803,5.228514783084358e-05,-0.0028422540053725243,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.16516730189323425,0.053704861551524416,9.8414945602417,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759809522587880320,188289,1759809522571923008,base_link,0.0010234380929554318,-0.009855972694188187,0.01988964572132163,-0.9997531287940007,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0030791854951530695,0.002461965195834637,0.003977819811552763,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.15965883433818817,0.0007514882017870352,9.82016372680664,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759809522587895936,188290,1759809522579923008,base_link,0.001012574413479495,-0.00986903525377628,0.019887917700532675,-0.9997530023534551,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0004661926068365574,0.002137587172910571,0.0007291024667210875,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.2253442108631134,-0.0635344609618175,9.793841361999512,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759809522589987584,188291,1759809522586923008,base_link,0.0010181723710696016,-0.009870876214948344,0.01990578796430131,-0.999752665178667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0006433271337300539,0.0005574901588261124,-0.002415211871266365,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.1923179030418396,-0.01064332481473564,9.83746337890625,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759809522599146624,188292,1759809522594923008,base_link,0.0010263090177379823,-0.00987492395876666,0.019917799816126906,-0.9997523701507275,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0004249939229339361,-0.002031651558354497,0.00036527216434478787,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.14935360848903656,0.04273046180606009,9.84631633758545,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759809522606709728,188293,1759809522601919936,base_link,0.0010268799758264033,-0.009869907166704849,0.01988492527428839,-0.9997530445003036,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0026247797068208456,-0.0006012772209942337,0.003970447927713394,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.22488997876644135,-0.10421577841043353,9.79712963104248,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759809522616410176,188294,1759809522611919936,base_link,0.0010472273547617993,-0.009873528832226499,0.019903933502966823,-0.99975258088497,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0028767266776412725,-0.00044016772881150273,-0.0023049842566251755,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.1604205071926117,0.039273377507926234,9.78874397277832,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759809522623482368,188295,1759809522615919936,base_link,0.0010445714447611053,-0.009861960180854766,0.019917757669278394,-0.999752496591273,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0015213049482554197,-0.0034340329002588987,0.0005240039899945263,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-0.15364530682563782,0.06451861560344817,9.826292037963867,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
