%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1759811045358528160,167065,1759811045305824640,base_link,-0.021003808198419106,-0.1310583860632024,0.03131616211480711,-0.9906573331231676,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00011226406786590815,-0.003919864073395729,-0.0010114558972418304,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-2.591817617416382,0.22748589515686152,9.434990882873535,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759811045358549280,167066,1759811045311824640,base_link,-0.021001653440788987,-0.1310655879059417,0.031323074197962875,-0.9906562373051063,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0005850321613252163,0.0002531935460865495,-0.002318655140697956,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-2.552471399307251,0.3142432272434246,9.429969787597656,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759811045358574464,167067,1759811045316824640,base_link,-0.021000847382311207,-0.13106757407617775,0.03131974459693056,-0.9906560265708637,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00019430369138717651,0.001854264293797314,-0.001069743186235428,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-2.5504162311553955,0.41552352905273554,9.468184471130371,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759811045358586080,167068,1759811045322824640,base_link,-0.020994662332292233,-0.13106311704694773,0.03129036824351845,-0.9906576702979557,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.002383734565228224,-0.00015144492499530226,0.007346251048147678,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-2.5769295692443848,0.36187988519668696,9.432658195495605,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759811045358600992,167069,1759811045326824640,base_link,-0.021002580671456224,-0.1310712145102179,0.03128172813957369,-0.9906567009204399,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00040551740676164627,0.0007937062764540321,0.00545845739543438,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-2.6114253997802734,0.22644560039043543,9.436800956726074,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759811045358619072,167070,1759811045332824640,base_link,-0.02101034622829435,-0.13106595669086615,0.03129816541049294,-0.9906567009204399,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.001433187280781567,0.001317959045991301,-0.0029997210949659348,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-2.5796422958374023,0.27820241451263544,9.409549713134766,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759811045359077792,167071,1759811045342824640,base_link,-0.02099665377088437,-0.13107649867134996,0.03129900834746317,-0.9906556051023786,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0009631483117118478,0.0009574763826094568,-0.0001546607818454505,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-2.5401861667633057,0.387989789247514,9.447700500488281,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759811045359090432,167072,1759811045348824640,base_link,-0.02100431396060123,-0.13107493923795505,0.031286827908243525,-0.9906560687177123,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0005178538849577308,5.587935448053967e-09,0.0029485684353858232,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-2.604095697402954,0.2789312899112713,9.460745811462402,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759811045359555520,167073,1759811045353824640,base_link,-0.02100728004506519,-0.13106331197612212,0.03130305444492022,-0.990657038095228,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0016795244300737977,-0.0032395846210420136,-0.002295215846970677,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-2.591095209121704,0.230085998773576,9.445672035217285,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759811045367646816,167074,1759811045359823360,base_link,-0.021007106189315075,-0.1310635174420086,0.03130444529092109,-0.9906569116546825,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00014731904957443476,-0.0014449302107095716,0.0023095535580068827,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-2.549746036529541,0.36138093471527216,9.481535911560059,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759811045373218592,167075,1759811045369823360,base_link,-0.02101310684687182,-0.13106412330295594,0.031274015266296216,-0.9906576702979557,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.00017322995699942112,0.0002907919115386911,0.00603641290217638,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-2.5700161457061768,0.3145435750484478,9.436006546020508,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759811045379023648,167076,1759811045374823360,base_link,-0.021011083798143298,-0.13106105711972676,0.03127502679066048,-0.9906580917664407,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0004218482645228505,-0.0003851264482364057,0.0013751110527664423,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-2.6201775074005127,0.22794015705585596,9.479156494140625,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759811045389329632,167077,1759811045385823360,base_link,-0.020998708429749276,-0.13105498270518515,0.03129736462037123,-0.9906584289412289,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0021150936372578144,-0.0010877642780542378,-0.004264391027390957,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-2.5322039127349854,0.44850647449493525,9.49127197265625,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
1759811045397833344,167078,1759811045390823360,base_link,-0.020988045277076026,-0.1310595345648243,0.03128914598491163,-0.9906583867943803,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.004319928120821714,4.123861435800827e-05,0.0029489442240446806,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,-2.5529816150665283,0.34525191783905146,9.472502708435059,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
