%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
31163000000,4390,31163000000,map,-0.012836103898391871,0.024026060336524584,-0.0594338480827392,0.0,0.0,0.0,0.0
31165000000,4391,31165000000,map,-0.012836103898391871,0.024026060336524584,-0.0594338480827392,0.0,0.0,0.0,0.0
31167000000,4392,31167000000,map,-0.012836103898391871,0.024026060336524584,-0.0594338480827392,0.0,0.0,0.0,0.0
31169000000,4393,31169000000,map,-0.012842639414050115,0.024058932716110714,-0.05944216533135315,0.0,0.0,0.0,0.0
31171000000,4394,31171000000,map,-0.012842639414050115,0.024058932716110714,-0.05944216533135315,0.0,0.0,0.0,0.0
31173000000,4395,31173000000,map,-0.012842639414050115,0.024058932716110714,-0.05944216533135315,0.0,0.0,0.0,0.0
31175000000,4396,31175000000,map,-0.012842639414050115,0.024058932716110714,-0.05944216533135315,0.0,0.0,0.0,0.0
31177000000,4397,31177000000,map,-0.01286453688290631,0.024068165419387107,-0.05941728058517711,0.0,0.0,0.0,0.0
31179000000,4398,31179000000,map,-0.01286453688290631,0.024068165419387107,-0.05941728058517711,0.0,0.0,0.0,0.0
31181000000,4399,31181000000,map,-0.01286453688290631,0.024068165419387107,-0.05941728058517711,0.0,0.0,0.0,0.0
31183000000,4400,31183000000,map,-0.01286453688290631,0.024068165419387107,-0.05941728058517711,0.0,0.0,0.0,0.0
31185000000,4401,31185000000,map,-0.01288161544272835,0.024047693375812446,-0.05939297432798378,0.0,0.0,0.0,0.0
31187000000,4402,31187000000,map,-0.01288161544272835,0.024047693375812446,-0.05939297432798378,0.0,0.0,0.0,0.0
31189000000,4403,31189000000,map,-0.01288161544272835,0.024047693375812446,-0.05939297432798378,0.0,0.0,0.0,0.0
31191000000,4404,31191000000,map,-0.01288161544272835,0.024047693375812446,-0.05939297432798378,0.0,0.0,0.0,0.0
31193000000,4405,31193000000,map,-0.012900313449209314,0.024046487400323863,-0.0594003613677378,0.0,0.0,0.0,0.0
31195000000,4406,31195000000,map,-0.012900313449209314,0.024046487400323863,-0.0594003613677378,0.0,0.0,0.0,0.0
31197000000,4407,31197000000,map,-0.012900313449209314,0.024046487400323863,-0.0594003613677378,0.0,0.0,0.0,0.0
31199000000,4408,31199000000,map,-0.012954502761425636,0.02404237317924271,-0.05940740539294289,0.0,0.0,0.0,0.0
31201000000,4409,31201000000,map,-0.012954502761425636,0.02404237317924271,-0.05940740539294289,0.0,0.0,0.0,0.0
31203000000,4410,31203000000,map,-0.012954502761425636,0.02404237317924271,-0.05940740539294289,0.0,0.0,0.0,0.0
31205000000,4411,31205000000,map,-0.012954502761425636,0.02404237317924271,-0.05940740539294289,0.0,0.0,0.0,0.0
31207000000,4412,31207000000,map,-0.012972536343987083,0.024042309957119604,-0.059405517670405805,0.0,0.0,0.0,0.0
