%time,field.clock
30969000000,30958000000
30969000000,30959000000
30969000000,30960000000
30969000000,30961000000
30969000000,30962000000
30969000000,30963000000
30969000000,30964000000
30969000000,30965000000
30969000000,30966000000
30969000000,30967000000
30970000000,30968000000
30970000000,30969000000
30970000000,30970000000
30971000000,30971000000
30972000000,30972000000
30973000000,30973000000
30974000000,30974000000
30975000000,30975000000
30976000000,30976000000
30977000000,30977000000
30978000000,30978000000
30979000000,30979000000
30980000000,30980000000
30981000000,30981000000
30982000000,30982000000
30983000000,30983000000
30984000000,30984000000
30985000000,30985000000
30986000000,30986000000
30987000000,30987000000
30988000000,30988000000
30989000000,30989000000
30990000000,30990000000
30991000000,30991000000
30992000000,30992000000
30993000000,30993000000
30994000000,30994000000
30995000000,30995000000
30996000000,30996000000
30997000000,30997000000
30998000000,30998000000
30999000000,30999000000
31000000000,31000000000
31001000000,31001000000
31002000000,31002000000
31003000000,31003000000
31004000000,31004000000
31005000000,31005000000
31006000000,31006000000
31007000000,31007000000
31008000000,31008000000
31009000000,31009000000
31010000000,31010000000
31011000000,31011000000
31012000000,31012000000
31013000000,31013000000
31014000000,31014000000
31015000000,31015000000
31016000000,31016000000
31017000000,31017000000
31018000000,31018000000
31019000000,31019000000
31020000000,31020000000
31021000000,31021000000
31022000000,31022000000
31023000000,31023000000
31024000000,31024000000
31025000000,31025000000
31026000000,31026000000
31027000000,31027000000
31028000000,31028000000
31029000000,31029000000
31030000000,31030000000
31031000000,31031000000
31032000000,31032000000
31033000000,31033000000
31034000000,31034000000
31035000000,31035000000
31036000000,31036000000
31037000000,31037000000
31038000000,31038000000
31039000000,31039000000
31040000000,31040000000
31041000000,31041000000
31042000000,31042000000
31043000000,31043000000
31044000000,31044000000
31045000000,31045000000
31046000000,31046000000
31047000000,31047000000
31048000000,31048000000
31049000000,31049000000
31049000000,31050000000
31051000000,31051000000
31052000000,31052000000
31053000000,31053000000
31054000000,31054000000
31055000000,31055000000
31056000000,31056000000
31057000000,31057000000
31058000000,31058000000
31059000000,31059000000
31060000000,31060000000
31061000000,31061000000
31062000000,31062000000
31063000000,31063000000
31064000000,31064000000
31065000000,31065000000
31066000000,31066000000
31067000000,31067000000
31068000000,31068000000
31069000000,31069000000
31070000000,31070000000
31071000000,31071000000
31072000000,31072000000
31073000000,31073000000
31074000000,31074000000
31075000000,31075000000
31076000000,31076000000
31077000000,31077000000
31078000000,31078000000
31079000000,31079000000
31080000000,31080000000
31081000000,31081000000
31082000000,31082000000
31083000000,31083000000
31084000000,31084000000
31085000000,31085000000
31086000000,31086000000
31087000000,31087000000
31088000000,31088000000
31089000000,31089000000
31090000000,31090000000
31091000000,31091000000
31092000000,31092000000
31093000000,31093000000
31094000000,31094000000
31095000000,31095000000
31096000000,31096000000
31097000000,31097000000
31098000000,31098000000
31099000000,31099000000
31100000000,31100000000
31101000000,31101000000
31102000000,31102000000
31103000000,31103000000
31104000000,31104000000
31105000000,31105000000
31106000000,31106000000
31107000000,31107000000
31108000000,31108000000
31109000000,31109000000
31110000000,31110000000
31110000000,31111000000
31112000000,31112000000
31113000000,31113000000
31114000000,31114000000
