%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z,field.r,field.buttons
31028000000,801,31028000000,,0.0,0.0,0.5,0.0,0
31079000000,802,31079000000,,0.0,0.0,0.5,0.0,0
31111000000,803,31110000000,,0.0,0.0,0.5,0.0,0
31143000000,804,31143000000,,0.0,0.0,0.5,0.0,0
31194000000,805,31194000000,,0.0,0.0,0.5,0.0,0
31225000000,806,31225000000,,0.0,0.0,0.5,0.0,0
31275000000,807,31275000000,,0.0,0.0,0.5,0.0,0
31301000000,808,31301000000,,0.0,0.0,0.5,0.0,0
31343000000,809,31343000000,,0.0,0.0,0.5,0.0,0
31395000000,810,31395000000,,0.0,0.0,0.5,0.0,0
31426000000,811,31426000000,,0.0,0.0,0.5,0.0,0
31476000000,812,31476000000,,0.0,0.0,0.5,0.0,0
31501000000,813,31501000000,,0.0,0.0,0.5,0.0,0
31560000000,814,31560000000,,0.0,0.0,0.5,0.0,0
31627000000,815,31627000000,,0.0,0.0,0.5,0.0,0
31694000000,816,31694000000,,0.0,0.0,0.5,0.0,0
31710000000,817,31710000000,,0.0,0.0,0.5,0.0,0
31744000000,818,31744000000,,0.0,0.0,0.5,0.0,0
31810000000,819,31810000000,,0.0,0.0,0.5,0.0,0
31843000000,820,31843000000,,0.0,0.0,0.5,0.0,0
31892000000,821,31892000000,,0.0,0.0,0.5,0.0,0
31909000000,822,31909000000,,0.0,0.0,0.5,0.0,0
31943000000,823,31943000000,,0.0,0.0,0.5,0.0,0
31993000000,824,31993000000,,0.0,0.0,0.5,0.0,0
32026000000,825,32026000000,,0.0,0.0,0.5,0.0,0
32076000000,826,32076000000,,0.0,0.0,0.5,0.0,0
32109000000,827,32109000000,,0.0,0.0,0.5,0.0,0
32144000000,828,32144000000,,0.0,0.0,0.5,0.0,0
32194000000,829,32194000000,,0.0,0.0,0.5,0.0,0
32226000000,830,32226000000,,0.0,0.0,0.5,0.0,0
32261000000,831,32261000000,,0.0,0.0,0.5,0.0,0
32327000000,832,32327000000,,0.0,0.0,0.5,0.0,0
32360000000,833,32360000000,,0.0,0.0,0.5,0.0,0
32393000000,834,32392000000,,0.0,0.0,0.5,0.0,0
32426000000,835,32425000000,,0.0,0.0,0.5,0.0,0
32476000000,836,32476000000,,0.0,0.0,0.5,0.0,0
32509000000,837,32509000000,,0.0,0.0,0.5,0.0,0
32544000000,838,32543000000,,0.0,0.0,0.5,0.0,0
32594000000,839,32594000000,,0.0,0.0,0.5,0.0,0
32627000000,840,32627000000,,0.0,0.0,0.5,0.0,0
32662000000,841,32662000000,,0.0,0.0,0.5,0.0,0
32710000000,842,32710000000,,0.0,0.0,0.5,0.0,0
32743000000,843,32743000000,,0.0,0.0,0.5,0.0,0
32781000000,844,32781000000,,0.0,0.0,0.5,0.0,0
32827000000,845,32827000000,,0.0,0.0,0.5,0.0,0
32861000000,846,32861000000,,0.0,0.0,0.5,0.0,0
32910000000,847,32910000000,,0.0,0.0,0.5,0.0,0
32943000000,848,32943000000,,0.0,0.0,0.5,0.0,0
32981000000,849,32981000000,,0.0,0.0,0.5,0.0,0
33026000000,850,33026000000,,0.0,0.0,0.5,0.0,0
33076000000,851,33076000000,,0.0,0.0,0.5,0.0,0
33109000000,852,33109000000,,0.0,0.0,0.5,0.0,0
33143000000,853,33143000000,,0.0,0.0,0.5,0.0,0
33193000000,854,33193000000,,0.0,0.0,0.5,0.0,0
33227000000,855,33226000000,,0.0,0.0,0.5,0.0,0
33275000000,856,33275000000,,0.0,0.0,0.5,0.0,0
33308000000,857,33308000000,,0.0,0.0,0.5,0.0,0
33341000000,858,33341000000,,0.0,0.0,0.5,0.0,0
33392000000,859,33392000000,,0.0,0.0,0.5,0.0,0
33425000000,860,33425000000,,0.0,0.0,0.5,0.0,0
33477000000,861,33477000000,,0.0,0.0,0.5,0.0,0
33508000000,862,33508000000,,0.0,0.0,0.5,0.0,0
33543000000,863,33543000000,,0.0,0.0,0.5,0.0,0
33593000000,864,33593000000,,0.0,0.0,0.5,0.0,0
33626000000,865,33626000000,,0.0,0.0,0.5,0.0,0
33676000000,866,33676000000,,0.0,0.0,0.5,0.0,0
33708000000,867,33708000000,,0.0,0.0,0.5,0.0,0
33743000000,868,33743000000,,0.0,0.0,0.5,0.0,0
33793000000,869,33793000000,,0.0,0.0,0.5,0.0,0
33826000000,870,33826000000,,0.0,0.0,0.5,0.0,0
33876000000,871,33876000000,,0.0,0.0,0.5,0.0,0
33909000000,872,33909000000,,0.0,0.0,0.5,0.0,0
33944000000,873,33943000000,,0.0,0.0,0.5,0.0,0
33992000000,874,33992000000,,0.0,0.0,0.5,0.0,0
34027000000,875,34027000000,,0.0,0.0,0.5,0.0,0
34077000000,876,34077000000,,0.0,0.0,0.5,0.0,0
34110000000,877,34110000000,,0.0,0.0,0.5,0.0,0
34143000000,878,34143000000,,0.0,0.0,0.5,0.0,0
34194000000,879,34194000000,,0.0,0.0,0.5,0.0,0
34227000000,880,34227000000,,0.0,0.0,0.5,0.0,0
34277000000,881,34277000000,,0.0,0.0,0.5,0.0,0
34310000000,882,34310000000,,0.0,0.0,0.5,0.0,0
34343000000,883,34343000000,,0.0,0.0,0.5,0.0,0
34395000000,884,34395000000,,0.0,0.0,0.5,0.0,0
34427000000,885,34426000000,,0.0,0.0,0.5,0.0,0
34461000000,886,34461000000,,0.0,0.0,0.5,0.0,0
34510000000,887,34510000000,,0.0,0.0,0.5,0.0,0
34543000000,888,34543000000,,0.0,0.0,0.5,0.0,0
34594000000,889,34594000000,,0.0,0.0,0.5,0.0,0
34626000000,890,34626000000,,0.0,0.0,0.5,0.0,0
34659000000,891,34659000000,,0.0,0.0,0.5,0.0,0
34709000000,892,34709000000,,0.0,0.0,0.5,0.0,0
34742000000,893,34742000000,,0.0,0.0,0.5,0.0,0
34793000000,894,34793000000,,0.0,0.0,0.5,0.0,0
34826000000,895,34826000000,,0.0,0.0,0.5,0.0,0
34860000000,896,34860000000,,0.0,0.0,0.5,0.0,0
34911000000,897,34910000000,,0.0,0.0,0.5,0.0,0
34943000000,898,34943000000,,0.0,0.0,0.5,0.0,0
34994000000,899,34994000000,,0.0,0.0,0.5,0.0,0
35028000000,900,35028000000,,0.0,0.0,0.5,0.0,0
35061000000,901,35061000000,,0.0,0.0,0.5,0.0,0
35110000000,902,35110000000,,0.0,0.0,0.5,0.0,0
35144000000,903,35144000000,,0.0,0.0,0.5,0.0,0
35194000000,904,35194000000,,0.0,0.0,0.5,0.0,0
35225000000,905,35225000000,,0.0,0.0,0.5,0.0,0
35260000000,906,35260000000,,0.0,0.0,0.5,0.0,0
35299000000,907,35299000000,,0.0,0.0,0.5,0.0,0
35326000000,908,35326000000,,0.0,0.0,0.5,0.0,0
35376000000,909,35376000000,,0.0,0.0,0.5,0.0,0
35409000000,910,35409000000,,0.0,0.0,0.5,0.0,0
35442000000,911,35442000000,,0.0,0.0,0.5,0.0,0
35494000000,912,35494000000,,0.0,0.0,0.5,0.0,0
35527000000,913,35527000000,,0.0,0.0,0.5,0.0,0
35577000000,914,35577000000,,0.0,0.0,0.5,0.0,0
35610000000,915,35610000000,,0.0,0.0,0.5,0.0,0
35627000000,916,35627000000,,0.0,0.0,0.5,0.0,0
35678000000,917,35678000000,,0.0,0.0,0.5,0.0,0
35709000000,918,35709000000,,0.0,0.0,0.5,0.0,0
35760000000,919,35760000000,,0.0,0.0,0.5,0.0,0
35792000000,920,35792000000,,0.0,0.0,0.5,0.0,0
35827000000,921,35827000000,,0.0,0.0,0.5,0.0,0
35877000000,922,35877000000,,0.0,0.0,0.5,0.0,0
35895000000,923,35895000000,,0.0,0.0,0.5,0.0,0
35928000000,924,35927000000,,0.0,0.0,0.5,0.0,0
35960000000,925,35960000000,,0.0,0.0,0.5,0.0,0
35993000000,926,35993000000,,0.0,0.0,0.5,0.0,0
36044000000,927,36043000000,,0.0,0.0,0.5,0.0,0
36076000000,928,36076000000,,0.0,0.0,0.5,0.0,0
36109000000,929,36109000000,,0.0,0.0,0.5,0.0,0
36127000000,930,36127000000,,0.0,0.0,0.5,0.0,0
36160000000,931,36159000000,,0.0,0.0,0.5,0.0,0
