%time,field.header.seq,field.header.stamp,field.header.frame_id,field.group_mix,field.controls0,field.controls1,field.controls2,field.controls3,field.controls4,field.controls5,field.controls6,field.controls7
30626000000,9313,0,,0,0.001091939047910273,0.004920723848044872,-0.023094022646546364,1.0,0.0,0.0,0.0,0.0
30628000000,9314,0,,0,0.001091939047910273,0.004920723848044872,-0.023094022646546364,1.0,0.0,0.0,0.0,0.0
30630000000,9315,0,,0,0.001091939047910273,0.004920723848044872,-0.023094022646546364,1.0,0.0,0.0,0.0,0.0
30632000000,9316,0,,0,0.0010984287364408374,0.0049218242056667805,-0.023076031357049942,1.0,0.0,0.0,0.0,0.0
30634000000,9317,0,,0,0.0010984287364408374,0.0049218242056667805,-0.023076031357049942,1.0,0.0,0.0,0.0,0.0
30636000000,9318,0,,0,0.0010984287364408374,0.0049218242056667805,-0.023076031357049942,1.0,0.0,0.0,0.0,0.0
30638000000,9319,0,,0,0.0011020655510947108,0.004928334150463343,-0.02307859994471073,1.0,0.0,0.0,0.0,0.0
30640000000,9320,0,,0,0.0011020655510947108,0.004928334150463343,-0.02307859994471073,1.0,0.0,0.0,0.0,0.0
30642000000,9321,0,,0,0.0011003888212144375,0.004924014676362276,-0.023065166547894478,1.0,0.0,0.0,0.0,0.0
30644000000,9322,0,,0,0.0011003888212144375,0.004924014676362276,-0.023065166547894478,1.0,0.0,0.0,0.0,0.0
30646000000,9323,0,,0,0.0010999706573784351,0.004919549450278282,-0.02306022308766842,1.0,0.0,0.0,0.0,0.0
30648000000,9324,0,,0,0.0010999706573784351,0.004919549450278282,-0.02306022308766842,1.0,0.0,0.0,0.0,0.0
30650000000,9325,0,,0,0.0010999706573784351,0.004919549450278282,-0.02306022308766842,1.0,0.0,0.0,0.0,0.0
30652000000,9326,0,,0,0.0011001208331435919,0.004916432313621044,-0.02308814227581024,1.0,0.0,0.0,0.0,0.0
30654000000,9327,0,,0,0.0011021452955901623,0.004909028764814138,-0.023082617670297623,1.0,0.0,0.0,0.0,0.0
30656000000,9328,0,,0,0.0011021452955901623,0.004909028764814138,-0.023082617670297623,1.0,0.0,0.0,0.0,0.0
30658000000,9329,0,,0,0.0010992150055244565,0.0049075656570494175,-0.023088714107871056,1.0,0.0,0.0,0.0,0.0
30660000000,9330,0,,0,0.0010992150055244565,0.0049075656570494175,-0.023088714107871056,1.0,0.0,0.0,0.0,0.0
30662000000,9331,0,,0,0.0010953906457871199,0.004913002252578735,-0.02309032343327999,1.0,0.0,0.0,0.0,0.0
30664000000,9332,0,,0,0.0010953906457871199,0.004913002252578735,-0.02309032343327999,1.0,0.0,0.0,0.0,0.0
30666000000,9333,0,,0,0.0010953906457871199,0.004913002252578735,-0.02309032343327999,1.0,0.0,0.0,0.0,0.0
30668000000,9334,0,,0,0.0010959358187392354,0.004912130068987608,-0.0230867862701416,1.0,0.0,0.0,0.0,0.0
30670000000,9335,0,,0,0.0010959358187392354,0.004912130068987608,-0.0230867862701416,1.0,0.0,0.0,0.0,0.0
30672000000,9336,0,,0,0.001100367633625865,0.004920062609016895,-0.023069119080901146,1.0,0.0,0.0,0.0,0.0
30674000000,9337,0,,0,0.001100367633625865,0.004920062609016895,-0.023069119080901146,1.0,0.0,0.0,0.0,0.0
30676000000,9338,0,,0,0.0011054793139919639,0.0049242181703448296,-0.023068152368068695,1.0,0.0,0.0,0.0,0.0
