%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
30636000000,9318,30636000000,map,-0.012541214027347371,0.023510030282367363,-0.05974327299162614,0.0,0.0,0.0,0.0
30638000000,9319,30638000000,map,-0.012541214027347371,0.023510030282367363,-0.05974327299162614,0.0,0.0,0.0,0.0
30640000000,9320,30640000000,map,-0.012541214027347371,0.023510030282367363,-0.05974327299162614,0.0,0.0,0.0,0.0
30642000000,9321,30642000000,map,-0.012570921271349794,0.023516043481766644,-0.059718953168736315,0.0,0.0,0.0,0.0
30644000000,9322,30644000000,map,-0.012570921271349794,0.023516043481766644,-0.059718953168736315,0.0,0.0,0.0,0.0
30646000000,9323,30646000000,map,-0.012570921271349794,0.023516043481766644,-0.059718953168736315,0.0,0.0,0.0,0.0
30648000000,9324,30648000000,map,-0.012570921271349794,0.023516043481766644,-0.059718953168736315,0.0,0.0,0.0,0.0
30650000000,9325,30650000000,map,-0.012570921271349794,0.023516043481766644,-0.059718953168736315,0.0,0.0,0.0,0.0
30652000000,9326,30652000000,map,-0.012570921271349794,0.023516043481766644,-0.059718953168736315,0.0,0.0,0.0,0.0
30654000000,9327,30654000000,map,-0.012594090614378295,0.023480736238834756,-0.05970465832525016,0.0,0.0,0.0,0.0
30656000000,9328,30656000000,map,-0.012594090614378295,0.023480736238834756,-0.05970465832525016,0.0,0.0,0.0,0.0
30658000000,9329,30658000000,map,-0.012594090614378295,0.023480736238834756,-0.05970465832525016,0.0,0.0,0.0,0.0
30660000000,9330,30660000000,map,-0.012594090614378295,0.023480736238834756,-0.05970465832525016,0.0,0.0,0.0,0.0
30662000000,9331,30662000000,map,-0.012594090614378295,0.023480736238834756,-0.05970465832525016,0.0,0.0,0.0,0.0
30664000000,9332,30664000000,map,-0.012594090614378295,0.023480736238834756,-0.05970465832525016,0.0,0.0,0.0,0.0
30666000000,9333,30666000000,map,-0.012594090614378295,0.023480736238834756,-0.05970465832525016,0.0,0.0,0.0,0.0
30668000000,9334,30668000000,map,-0.01259139379646274,0.02345262745726226,-0.05970840755801916,0.0,0.0,0.0,0.0
30670000000,9335,30670000000,map,-0.01259139379646274,0.02345262745726226,-0.05970840755801916,0.0,0.0,0.0,0.0
30672000000,9336,30672000000,map,-0.01259139379646274,0.02345262745726226,-0.05970840755801916,0.0,0.0,0.0,0.0
30674000000,9337,30674000000,map,-0.01259139379646274,0.02345262745726226,-0.05970840755801916,0.0,0.0,0.0,0.0
30676000000,9338,30676000000,map,-0.01259139379646274,0.02345262745726226,-0.05970840755801916,0.0,0.0,0.0,0.0
30678000000,9339,30678000000,map,-0.012622137674298865,0.023466703664155205,-0.05968946623686869,0.0,0.0,0.0,0.0
30680000000,9340,30680000000,map,-0.012622137674298865,0.023466703664155205,-0.05968946623686869,0.0,0.0,0.0,0.0
30682000000,9341,30682000000,map,-0.012622137674298865,0.023466703664155205,-0.05968946623686869,0.0,0.0,0.0,0.0
30684000000,9342,30684000000,map,-0.012622137674298865,0.023466703664155205,-0.05968946623686869,0.0,0.0,0.0,0.0
30686000000,9343,30686000000,map,-0.012622137674298865,0.023466703664155205,-0.05968946623686869,0.0,0.0,0.0,0.0
30688000000,9344,30688000000,map,-0.012622137674298865,0.023466703664155205,-0.05968946623686869,0.0,0.0,0.0,0.0
30690000000,9345,30690000000,map,-0.012630106056058972,0.02348330519126721,-0.059697263396958855,0.0,0.0,0.0,0.0
30692000000,9346,30692000000,map,-0.012630106056058972,0.02348330519126721,-0.059697263396958855,0.0,0.0,0.0,0.0
30694000000,9347,30694000000,map,-0.012630106056058972,0.02348330519126721,-0.059697263396958855,0.0,0.0,0.0,0.0
30696000000,9348,30696000000,map,-0.012630106056058972,0.02348330519126721,-0.059697263396958855,0.0,0.0,0.0,0.0
30698000000,9349,30698000000,map,-0.012645901646467044,0.023468746914466248,-0.05968571334954221,0.0,0.0,0.0,0.0
30700000000,9350,30700000000,map,-0.012645901646467044,0.023468746914466248,-0.05968571334954221,0.0,0.0,0.0,0.0
30702000000,9351,30702000000,map,-0.012645901646467044,0.023468746914466248,-0.05968571334954221,0.0,0.0,0.0,0.0
30704000000,9352,30704000000,map,-0.012645901646467044,0.023468746914466248,-0.05968571334954221,0.0,0.0,0.0,0.0
30706000000,9353,30706000000,map,-0.012637654231187881,0.0234876642051873,-0.059673428577350716,0.0,0.0,0.0,0.0
30708000000,9354,30708000000,map,-0.012637654231187881,0.0234876642051873,-0.059673428577350716,0.0,0.0,0.0,0.0
30710000000,9355,30710000000,map,-0.012637654231187881,0.0234876642051873,-0.059673428577350716,0.0,0.0,0.0,0.0
30712000000,9356,30712000000,map,-0.012637654231187881,0.0234876642051873,-0.059673428577350716,0.0,0.0,0.0,0.0
30714000000,9357,30714000000,map,-0.012601993552876299,0.02353459401524582,-0.05967297847686943,0.0,0.0,0.0,0.0
30716000000,9358,30716000000,map,-0.012601993552876299,0.02353459401524582,-0.05967297847686943,0.0,0.0,0.0,0.0
30718000000,9359,30718000000,map,-0.012601993552876299,0.02353459401524582,-0.05967297847686943,0.0,0.0,0.0,0.0
30720000000,9360,30720000000,map,-0.012601993552876299,0.02353459401524582,-0.05967297847686943,0.0,0.0,0.0,0.0
30722000000,9361,30722000000,map,-0.012604053156386404,0.023534016896265733,-0.05968387664198516,0.0,0.0,0.0,0.0
30724000000,9362,30724000000,map,-0.012604053156386404,0.023534016896265733,-0.05968387664198516,0.0,0.0,0.0,0.0
30726000000,9363,30726000000,map,-0.012604053156386404,0.023534016896265733,-0.05968387664198516,0.0,0.0,0.0,0.0
30728000000,9364,30728000000,map,-0.012604053156386404,0.023534016896265733,-0.05968387664198516,0.0,0.0,0.0,0.0
30730000000,9365,30730000000,map,-0.012604053156386404,0.023534016896265733,-0.05968387664198516,0.0,0.0,0.0,0.0
30732000000,9366,30732000000,map,-0.01262455664822595,0.02353133275963549,-0.05966007323492294,0.0,0.0,0.0,0.0
30734000000,9367,30734000000,map,-0.01262455664822595,0.02353133275963549,-0.05966007323492294,0.0,0.0,0.0,0.0
30736000000,9368,30736000000,map,-0.01262455664822595,0.02353133275963549,-0.05966007323492294,0.0,0.0,0.0,0.0
30738000000,9369,30738000000,map,-0.01262455664822595,0.02353133275963549,-0.05966007323492294,0.0,0.0,0.0,0.0
30740000000,9370,30740000000,map,-0.012607108583010822,0.023564882714509072,-0.05964431457092725,0.0,0.0,0.0,0.0
