%time,field.clock
30458000000,30452000000
30458000000,30453000000
30458000000,30454000000
30458000000,30455000000
30458000000,30456000000
30458000000,30457000000
30458000000,30458000000
30459000000,30459000000
30460000000,30460000000
30461000000,30461000000
30462000000,30462000000
30463000000,30463000000
30464000000,30464000000
30465000000,30465000000
30466000000,30466000000
30467000000,30467000000
30468000000,30468000000
30469000000,30469000000
30469000000,30470000000
30471000000,30471000000
30472000000,30472000000
30473000000,30473000000
30474000000,30474000000
30475000000,30475000000
30476000000,30476000000
30477000000,30477000000
30478000000,30478000000
30479000000,30479000000
30480000000,30480000000
30481000000,30481000000
30482000000,30482000000
30483000000,30483000000
30484000000,30484000000
30485000000,30485000000
30486000000,30486000000
30486000000,30487000000
30488000000,30488000000
30489000000,30489000000
30490000000,30490000000
30491000000,30491000000
30492000000,30492000000
30493000000,30493000000
30494000000,30494000000
30495000000,30495000000
30496000000,30496000000
30497000000,30497000000
30498000000,30498000000
30499000000,30499000000
30500000000,30500000000
30501000000,30501000000
30501000000,30502000000
30503000000,30503000000
30504000000,30504000000
30505000000,30505000000
30506000000,30506000000
30507000000,30507000000
30508000000,30508000000
30509000000,30509000000
30510000000,30510000000
30511000000,30511000000
30512000000,30512000000
30513000000,30513000000
30513000000,30514000000
30515000000,30515000000
30516000000,30516000000
30517000000,30517000000
30518000000,30518000000
30519000000,30519000000
30520000000,30520000000
30521000000,30521000000
30522000000,30522000000
30523000000,30523000000
30524000000,30524000000
30525000000,30525000000
30526000000,30526000000
30527000000,30527000000
30528000000,30528000000
30529000000,30529000000
30530000000,30530000000
30531000000,30531000000
30532000000,30532000000
30533000000,30533000000
30534000000,30534000000
30535000000,30535000000
30535000000,30536000000
30536000000,30537000000
30538000000,30538000000
30539000000,30539000000
30540000000,30540000000
30541000000,30541000000
30542000000,30542000000
30543000000,30543000000
30544000000,30544000000
30545000000,30545000000
30545000000,30546000000
30547000000,30547000000
30548000000,30548000000
30549000000,30549000000
30550000000,30550000000
30551000000,30551000000
30551000000,30552000000
30552000000,30553000000
30554000000,30554000000
30555000000,30555000000
30555000000,30556000000
30556000000,30557000000
30558000000,30558000000
30559000000,30559000000
30560000000,30560000000
30561000000,30561000000
30562000000,30562000000
30563000000,30563000000
30564000000,30564000000
30565000000,30565000000
30565000000,30566000000
30567000000,30567000000
30568000000,30568000000
30569000000,30569000000
30569000000,30570000000
30571000000,30571000000
30571000000,30572000000
30572000000,30573000000
30574000000,30574000000
30575000000,30575000000
30576000000,30576000000
30577000000,30577000000
30578000000,30578000000
30579000000,30579000000
30580000000,30580000000
30581000000,30581000000
30582000000,30582000000
30583000000,30583000000
30584000000,30584000000
30585000000,30585000000
30586000000,30586000000
30587000000,30587000000
30588000000,30588000000
30589000000,30589000000
