%time,field.clock
38762000000,38756000000
38762000000,38757000000
38762000000,38758000000
38762000000,38759000000
38762000000,38760000000
38762000000,38761000000
38762000000,38762000000
38763000000,38763000000
38764000000,38764000000
38765000000,38765000000
38766000000,38766000000
38767000000,38767000000
38768000000,38768000000
38769000000,38769000000
38770000000,38770000000
38771000000,38771000000
38772000000,38772000000
38773000000,38773000000
38774000000,38774000000
38775000000,38775000000
38776000000,38776000000
38777000000,38777000000
38778000000,38778000000
38779000000,38779000000
38780000000,38780000000
38781000000,38781000000
38782000000,38782000000
38783000000,38783000000
38784000000,38784000000
38785000000,38785000000
38786000000,38786000000
38787000000,38787000000
38788000000,38788000000
38789000000,38789000000
38790000000,38790000000
38791000000,38791000000
38792000000,38792000000
38793000000,38793000000
38794000000,38794000000
38795000000,38795000000
38796000000,38796000000
38797000000,38797000000
38798000000,38798000000
38799000000,38799000000
38800000000,38800000000
38801000000,38801000000
38802000000,38802000000
38803000000,38803000000
38804000000,38804000000
38805000000,38805000000
38806000000,38806000000
38807000000,38807000000
38808000000,38808000000
38809000000,38809000000
38810000000,38810000000
38811000000,38811000000
38812000000,38812000000
38813000000,38813000000
38814000000,38814000000
38815000000,38815000000
38816000000,38816000000
38817000000,38817000000
38818000000,38818000000
38819000000,38819000000
38820000000,38820000000
38821000000,38821000000
38822000000,38822000000
38822000000,38823000000
38824000000,38824000000
38825000000,38825000000
38826000000,38826000000
38827000000,38827000000
38828000000,38828000000
38829000000,38829000000
38830000000,38830000000
38831000000,38831000000
38832000000,38832000000
38833000000,38833000000
38834000000,38834000000
38835000000,38835000000
38836000000,38836000000
38837000000,38837000000
38838000000,38838000000
38839000000,38839000000
38840000000,38840000000
38841000000,38841000000
38842000000,38842000000
38843000000,38843000000
38844000000,38844000000
38845000000,38845000000
38846000000,38846000000
38847000000,38847000000
38848000000,38848000000
38849000000,38849000000
38850000000,38850000000
38851000000,38851000000
38852000000,38852000000
38853000000,38853000000
38854000000,38854000000
38855000000,38855000000
38856000000,38856000000
38857000000,38857000000
38858000000,38858000000
38859000000,38859000000
38860000000,38860000000
38861000000,38861000000
38862000000,38862000000
38863000000,38863000000
38864000000,38864000000
38865000000,38865000000
38866000000,38866000000
38867000000,38867000000
38868000000,38868000000
38869000000,38869000000
38870000000,38870000000
38871000000,38871000000
38872000000,38872000000
38873000000,38873000000
38874000000,38874000000
38875000000,38875000000
38876000000,38876000000
38877000000,38877000000
38878000000,38878000000
38879000000,38879000000
38880000000,38880000000
38881000000,38881000000
38882000000,38882000000
38883000000,38883000000
38884000000,38884000000
38885000000,38885000000
38886000000,38886000000
38887000000,38887000000
38888000000,38888000000
38889000000,38889000000
38890000000,38890000000
38891000000,38891000000
38892000000,38892000000
38893000000,38893000000
38894000000,38894000000
38895000000,38895000000
38896000000,38896000000
38897000000,38897000000
38898000000,38898000000
38899000000,38899000000
38900000000,38900000000
38901000000,38901000000
38902000000,38902000000
38903000000,38903000000
38904000000,38904000000
38905000000,38905000000
38906000000,38906000000
38907000000,38907000000
38908000000,38908000000
38909000000,38909000000
38910000000,38910000000
38911000000,38911000000
38912000000,38912000000
38913000000,38913000000
38914000000,38914000000
38915000000,38915000000
38916000000,38916000000
38917000000,38917000000
38918000000,38918000000
38919000000,38919000000
38920000000,38920000000
38921000000,38921000000
38922000000,38922000000
38923000000,38923000000
38924000000,38924000000
38925000000,38925000000
38926000000,38926000000
38927000000,38927000000
38928000000,38928000000
38929000000,38929000000
38930000000,38930000000
38931000000,38931000000
38932000000,38932000000
38933000000,38933000000
38934000000,38934000000
38935000000,38935000000
38936000000,38936000000
38937000000,38937000000
38938000000,38938000000
38939000000,38939000000
38940000000,38940000000
38940000000,38941000000
38942000000,38942000000
38943000000,38943000000
38944000000,38944000000
38945000000,38945000000
38946000000,38946000000
38947000000,38947000000
38948000000,38948000000
38949000000,38949000000
38950000000,38950000000
38951000000,38951000000
38952000000,38952000000
38953000000,38953000000
38954000000,38954000000
38955000000,38955000000
38956000000,38956000000
38957000000,38957000000
38958000000,38958000000
38959000000,38959000000
38960000000,38960000000
38961000000,38961000000
38962000000,38962000000
38963000000,38963000000
38964000000,38964000000
38965000000,38965000000
38966000000,38966000000
38967000000,38967000000
38968000000,38968000000
38969000000,38969000000
38970000000,38970000000
38971000000,38971000000
38972000000,38972000000
38973000000,38973000000
38974000000,38974000000
38975000000,38975000000
38976000000,38976000000
38977000000,38977000000
38978000000,38978000000
38979000000,38979000000
38980000000,38980000000
38981000000,38981000000
38982000000,38982000000
38983000000,38983000000
38984000000,38984000000
38985000000,38985000000
38986000000,38986000000
38987000000,38987000000
38988000000,38988000000
38989000000,38989000000
38990000000,38990000000
38991000000,38991000000
38992000000,38992000000
38993000000,38993000000
38994000000,38994000000
38995000000,38995000000
38996000000,38996000000
38997000000,38997000000
38998000000,38998000000
38999000000,38999000000
39000000000,39000000000
39001000000,39001000000
39002000000,39002000000
39003000000,39003000000
39004000000,39004000000
39005000000,39005000000
39006000000,39006000000
39007000000,39007000000
39008000000,39008000000
39009000000,39009000000
39010000000,39010000000
39011000000,39011000000
39012000000,39012000000
39013000000,39013000000
39014000000,39014000000
39015000000,39015000000
39016000000,39016000000
39017000000,39017000000
39018000000,39018000000
39019000000,39019000000
39020000000,39020000000
39021000000,39021000000
39022000000,39022000000
