%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z,field.r,field.buttons
39997000000,1023,39997000000,,0.0,0.0,0.5,0.0,0
40063000000,1024,40063000000,,0.0,0.0,0.5,0.0,0
40079000000,1025,40079000000,,0.0,0.0,0.5,0.0,0
40118000000,1026,40118000000,,0.0,0.0,0.5,0.0,0
40180000000,1027,40180000000,,0.0,0.0,0.5,0.0,0
40198000000,1028,40198000000,,0.0,0.0,0.5,0.0,0
40297000000,1029,40297000000,,0.0,0.0,0.5,0.0,0
40329000000,1030,40329000000,,0.0,0.0,0.5,0.0,0
40352000000,1031,40351000000,,0.0,0.0,0.5,0.0,0
40397000000,1032,40397000000,,0.0,0.0,0.5,0.0,0
40431000000,1033,40431000000,,0.0,0.0,0.5,0.0,0
40463000000,1034,40463000000,,0.0,0.0,0.5,0.0,0
40513000000,1035,40513000000,,0.0,0.0,0.5,0.0,0
40547000000,1036,40547000000,,0.0,0.0,0.5,0.0,0
40583000000,1037,40583000000,,0.0,0.0,0.5,0.0,0
40664000000,1038,40664000000,,0.0,0.0,0.5,0.0,0
40714000000,1039,40714000000,,0.0,0.0,0.5,0.0,0
40764000000,1040,40764000000,,0.0,0.0,0.5,0.0,0
40780000000,1041,40780000000,,0.0,0.0,0.5,0.0,0
40830000000,1042,40830000000,,0.0,0.0,0.5,0.0,0
40865000000,1043,40864000000,,0.0,0.0,0.5,0.0,0
40915000000,1044,40915000000,,0.0,0.0,0.5,0.0,0
40946000000,1045,40946000000,,0.0,0.0,0.5,0.0,0
40984000000,1046,40984000000,,0.0,0.0,0.5,0.0,0
41031000000,1047,41031000000,,0.0,0.0,0.5,0.0,0
41064000000,1048,41064000000,,0.0,0.0,0.5,0.0,0
41114000000,1049,41114000000,,0.0,0.0,0.5,0.0,0
41147000000,1050,41147000000,,0.0,0.0,0.5,0.0,0
41197000000,1051,41197000000,,0.0,0.0,0.5,0.0,0
41230000000,1052,41230000000,,0.0,0.0,0.5,0.0,0
41264000000,1053,41264000000,,0.0,0.0,0.5,0.0,0
41313000000,1054,41313000000,,0.0,0.0,0.5,0.0,0
41347000000,1055,41347000000,,0.0,0.0,0.5,0.0,0
41397000000,1056,41397000000,,0.0,0.0,0.5,0.0,0
41430000000,1057,41430000000,,0.0,0.0,0.5,0.0,0
41463000000,1058,41463000000,,0.0,0.0,0.5,0.0,0
41513000000,1059,41513000000,,0.0,0.0,0.5,0.0,0
41548000000,1060,41548000000,,0.0,0.0,0.5,0.0,0
41598000000,1061,41598000000,,0.0,0.0,0.5,0.0,0
41631000000,1062,41631000000,,0.0,0.0,0.5,0.0,0
41664000000,1063,41664000000,,0.0,0.0,0.5,0.0,0
41714000000,1064,41714000000,,0.0,0.0,0.5,0.0,0
41748000000,1065,41748000000,,0.0,0.0,0.5,0.0,0
41798000000,1066,41798000000,,0.0,0.0,0.5,0.0,0
41831000000,1067,41831000000,,0.0,0.0,0.5,0.0,0
41864000000,1068,41864000000,,0.0,0.0,0.5,0.0,0
41914000000,1069,41914000000,,0.0,0.0,0.5,0.0,0
41948000000,1070,41948000000,,0.0,0.0,0.5,0.0,0
41998000000,1071,41998000000,,0.0,0.0,0.5,0.0,0
42031000000,1072,42031000000,,0.0,0.0,0.5,0.0,0
42067000000,1073,42067000000,,0.0,0.0,0.5,0.0,0
42114000000,1074,42114000000,,0.0,0.0,0.5,0.0,0
42148000000,1075,42148000000,,0.0,0.0,0.5,0.0,0
42198000000,1076,42198000000,,0.0,0.0,0.5,0.0,0
42231000000,1077,42231000000,,0.0,0.0,0.5,0.0,0
