%time,field.clock
650464000000,650449000000
650464000000,650450000000
650464000000,650451000000
650464000000,650452000000
650464000000,650453000000
650464000000,650454000000
650464000000,650455000000
650464000000,650456000000
650464000000,650457000000
650464000000,650458000000
650464000000,650459000000
650464000000,650460000000
650464000000,650461000000
650464000000,650462000000
650464000000,650463000000
650464000000,650464000000
650465000000,650465000000
650466000000,650466000000
650467000000,650467000000
650467000000,650468000000
650468000000,650469000000
650470000000,650470000000
650471000000,650471000000
650472000000,650472000000
650472000000,650473000000
650474000000,650474000000
650475000000,650475000000
650476000000,650476000000
650477000000,650477000000
650478000000,650478000000
650479000000,650479000000
650480000000,650480000000
650481000000,650481000000
650482000000,650482000000
650483000000,650483000000
650484000000,650484000000
650485000000,650485000000
650486000000,650486000000
650487000000,650487000000
650488000000,650488000000
650489000000,650489000000
650490000000,650490000000
650490000000,650491000000
650492000000,650492000000
650492000000,650493000000
650494000000,650494000000
650494000000,650495000000
650496000000,650496000000
650497000000,650497000000
650497000000,650498000000
650499000000,650499000000
650500000000,650500000000
650501000000,650501000000
650502000000,650502000000
650503000000,650503000000
650504000000,650504000000
650504000000,650505000000
650506000000,650506000000
650507000000,650507000000
650508000000,650508000000
650509000000,650509000000
650510000000,650510000000
650511000000,650511000000
650512000000,650512000000
650513000000,650513000000
650514000000,650514000000
650515000000,650515000000
650516000000,650516000000
650517000000,650517000000
650518000000,650518000000
650519000000,650519000000
650520000000,650520000000
650521000000,650521000000
650521000000,650522000000
650523000000,650523000000
650524000000,650524000000
650525000000,650525000000
650526000000,650526000000
650526000000,650527000000
650527000000,650528000000
650529000000,650529000000
650529000000,650530000000
650531000000,650531000000
650532000000,650532000000
650533000000,650533000000
650534000000,650534000000
650535000000,650535000000
650536000000,650536000000
650537000000,650537000000
650538000000,650538000000
650539000000,650539000000
650539000000,650540000000
650541000000,650541000000
650542000000,650542000000
650543000000,650543000000
650544000000,650544000000
650544000000,650545000000
650545000000,650546000000
650547000000,650547000000
650548000000,650548000000
650549000000,650549000000
650550000000,650550000000
650551000000,650551000000
650552000000,650552000000
650553000000,650553000000
650554000000,650554000000
650554000000,650555000000
650556000000,650556000000
650557000000,650557000000
650558000000,650558000000
650559000000,650559000000
650560000000,650560000000
650561000000,650561000000
650562000000,650562000000
650563000000,650563000000
650564000000,650564000000
650565000000,650565000000
650566000000,650566000000
650567000000,650567000000
650568000000,650568000000
650569000000,650569000000
650570000000,650570000000
650571000000,650571000000
650571000000,650572000000
650573000000,650573000000
650573000000,650574000000
650575000000,650575000000
650576000000,650576000000
650577000000,650577000000
650578000000,650578000000
650579000000,650579000000
650580000000,650580000000
650581000000,650581000000
650582000000,650582000000
650583000000,650583000000
650584000000,650584000000
650585000000,650585000000
650586000000,650586000000
650587000000,650587000000
650588000000,650588000000
650589000000,650589000000
650590000000,650590000000
650591000000,650591000000
650592000000,650592000000
650593000000,650593000000
650593000000,650594000000
650595000000,650595000000
650595000000,650596000000
650597000000,650597000000
650598000000,650598000000
650599000000,650599000000
650600000000,650600000000
650601000000,650601000000
650602000000,650602000000
650602000000,650603000000
650604000000,650604000000
650604000000,650605000000
650605000000,650606000000
650607000000,650607000000
650608000000,650608000000
650609000000,650609000000
650610000000,650610000000
650611000000,650611000000
650612000000,650612000000
650613000000,650613000000
650613000000,650614000000
650615000000,650615000000
650616000000,650616000000
650617000000,650617000000
650618000000,650618000000
650619000000,650619000000
650620000000,650620000000
650621000000,650621000000
650622000000,650622000000
650623000000,650623000000
650624000000,650624000000
650625000000,650625000000
650626000000,650626000000
650626000000,650627000000
650627000000,650628000000
650629000000,650629000000
650630000000,650630000000
650630000000,650631000000
650632000000,650632000000
650633000000,650633000000
650634000000,650634000000
650635000000,650635000000
650636000000,650636000000
650637000000,650637000000
650638000000,650638000000
650639000000,650639000000
650640000000,650640000000
650641000000,650641000000
650642000000,650642000000
650643000000,650643000000
650643000000,650644000000
650645000000,650645000000
650646000000,650646000000
650646000000,650647000000
650648000000,650648000000
650649000000,650649000000
650650000000,650650000000
650650000000,650651000000
650651000000,650652000000
650652000000,650653000000
650654000000,650654000000
650655000000,650655000000
650656000000,650656000000
650657000000,650657000000
650658000000,650658000000
650659000000,650659000000
650660000000,650660000000
650661000000,650661000000
650662000000,650662000000
650663000000,650663000000
650664000000,650664000000
650665000000,650665000000
650666000000,650666000000
650667000000,650667000000
650668000000,650668000000
650669000000,650669000000
650670000000,650670000000
650671000000,650671000000
650672000000,650672000000
650672000000,650673000000
650673000000,650674000000
650675000000,650675000000
650676000000,650676000000
650677000000,650677000000
650678000000,650678000000
650679000000,650679000000
650680000000,650680000000
650681000000,650681000000
650682000000,650682000000
650682000000,650683000000
650683000000,650684000000
650684000000,650685000000
650685000000,650686000000
650687000000,650687000000
650687000000,650688000000
650689000000,650689000000
650689000000,650690000000
650690000000,650691000000
650691000000,650692000000
650693000000,650693000000
650694000000,650694000000
650695000000,650695000000
650696000000,650696000000
650697000000,650697000000
650698000000,650698000000
650699000000,650699000000
650700000000,650700000000
650701000000,650701000000
650702000000,650702000000
650703000000,650703000000
650703000000,650704000000
650705000000,650705000000
650706000000,650706000000
650707000000,650707000000
650708000000,650708000000
650709000000,650709000000
650710000000,650710000000
650711000000,650711000000
650712000000,650712000000
650713000000,650713000000
650714000000,650714000000
650715000000,650715000000
650716000000,650716000000
650717000000,650717000000
650718000000,650718000000
650719000000,650719000000
650719000000,650720000000
650719000000,650721000000
650722000000,650722000000
650723000000,650723000000
650724000000,650724000000
650725000000,650725000000
650726000000,650726000000
650727000000,650727000000
650728000000,650728000000
650729000000,650729000000
650730000000,650730000000
650731000000,650731000000
650732000000,650732000000
650732000000,650733000000
650733000000,650734000000
650735000000,650735000000
650736000000,650736000000
650737000000,650737000000
650738000000,650738000000
650739000000,650739000000
650740000000,650740000000
650741000000,650741000000
650742000000,650742000000
650743000000,650743000000
650744000000,650744000000
650745000000,650745000000
650746000000,650746000000
650747000000,650747000000
650748000000,650748000000
650749000000,650749000000
650750000000,650750000000
650751000000,650751000000
650752000000,650752000000
650753000000,650753000000
650754000000,650754000000
650755000000,650755000000
650756000000,650756000000
650757000000,650757000000
650758000000,650758000000
650759000000,650759000000
650760000000,650760000000
650761000000,650761000000
650762000000,650762000000
650763000000,650763000000
650764000000,650764000000
650765000000,650765000000
650766000000,650766000000
650767000000,650767000000
650768000000,650768000000
650769000000,650769000000
650770000000,650770000000
650771000000,650771000000
650772000000,650772000000
650773000000,650773000000
650774000000,650774000000
650775000000,650775000000
650776000000,650776000000
650777000000,650777000000
650777000000,650778000000
650779000000,650779000000
650780000000,650780000000
650781000000,650781000000
650782000000,650782000000
650783000000,650783000000
650784000000,650784000000
650785000000,650785000000
650785000000,650786000000
650787000000,650787000000
650788000000,650788000000
650789000000,650789000000
650790000000,650790000000
650791000000,650791000000
650792000000,650792000000
650793000000,650793000000
650793000000,650794000000
650795000000,650795000000
650796000000,650796000000
650796000000,650797000000
650798000000,650798000000
650798000000,650799000000
650799000000,650800000000
650800000000,650801000000
650801000000,650802000000
650803000000,650803000000
650804000000,650804000000
650805000000,650805000000
650806000000,650806000000
650806000000,650807000000
650807000000,650808000000
650808000000,650809000000
650809000000,650810000000
650810000000,650811000000
650811000000,650812000000
650812000000,650813000000
650814000000,650814000000
650815000000,650815000000
650816000000,650816000000
650817000000,650817000000
650818000000,650818000000
650818000000,650819000000
650820000000,650820000000
650820000000,650821000000
650822000000,650822000000
650822000000,650823000000
650824000000,650824000000
650825000000,650825000000
650826000000,650826000000
650827000000,650827000000
650828000000,650828000000
650829000000,650829000000
650830000000,650830000000
650831000000,650831000000
650832000000,650832000000
