%time,field.clock
25771000000,25763000000
25771000000,25764000000
25771000000,25765000000
25771000000,25766000000
25771000000,25767000000
25771000000,25768000000
25771000000,25769000000
25771000000,25770000000
25771000000,25771000000
25772000000,25772000000
25773000000,25773000000
25774000000,25774000000
25775000000,25775000000
25776000000,25776000000
25777000000,25777000000
25778000000,25778000000
25779000000,25779000000
25780000000,25780000000
25781000000,25781000000
25782000000,25782000000
25782000000,25783000000
25784000000,25784000000
25785000000,25785000000
25785000000,25786000000
25787000000,25787000000
25788000000,25788000000
25789000000,25789000000
25790000000,25790000000
25791000000,25791000000
25792000000,25792000000
25793000000,25793000000
25794000000,25794000000
25795000000,25795000000
25796000000,25796000000
25797000000,25797000000
25798000000,25798000000
25799000000,25799000000
25800000000,25800000000
25801000000,25801000000
25802000000,25802000000
25803000000,25803000000
25804000000,25804000000
25805000000,25805000000
25806000000,25806000000
25807000000,25807000000
25808000000,25808000000
25809000000,25809000000
25810000000,25810000000
25811000000,25811000000
25812000000,25812000000
25813000000,25813000000
25814000000,25814000000
25815000000,25815000000
25816000000,25816000000
25817000000,25817000000
25818000000,25818000000
25819000000,25819000000
25820000000,25820000000
25820000000,25821000000
25822000000,25822000000
25822000000,25823000000
25824000000,25824000000
25824000000,25825000000
25826000000,25826000000
25827000000,25827000000
25828000000,25828000000
25829000000,25829000000
25830000000,25830000000
25831000000,25831000000
25832000000,25832000000
25833000000,25833000000
25834000000,25834000000
25835000000,25835000000
25836000000,25836000000
25836000000,25837000000
25838000000,25838000000
25839000000,25839000000
25839000000,25840000000
25841000000,25841000000
25842000000,25842000000
25843000000,25843000000
25844000000,25844000000
25845000000,25845000000
25846000000,25846000000
25847000000,25847000000
25848000000,25848000000
25849000000,25849000000
25849000000,25850000000
25851000000,25851000000
25852000000,25852000000
25853000000,25853000000
25854000000,25854000000
25855000000,25855000000
25856000000,25856000000
25857000000,25857000000
25858000000,25858000000
25859000000,25859000000
25860000000,25860000000
25861000000,25861000000
25862000000,25862000000
25863000000,25863000000
25864000000,25864000000
25865000000,25865000000
25866000000,25866000000
25867000000,25867000000
25868000000,25868000000
25869000000,25869000000
25870000000,25870000000
25871000000,25871000000
25872000000,25872000000
25873000000,25873000000
25874000000,25874000000
25875000000,25875000000
25876000000,25876000000
25877000000,25877000000
25878000000,25878000000
25879000000,25879000000
25879000000,25880000000
25881000000,25881000000
25881000000,25882000000
25883000000,25883000000
25884000000,25884000000
25885000000,25885000000
25886000000,25886000000
25887000000,25887000000
25888000000,25888000000
25889000000,25889000000
25890000000,25890000000
25891000000,25891000000
25892000000,25892000000
25893000000,25893000000
25894000000,25894000000
25895000000,25895000000
25896000000,25896000000
25897000000,25897000000
25898000000,25898000000
25899000000,25899000000
25900000000,25900000000
25901000000,25901000000
25902000000,25902000000
25903000000,25903000000
25904000000,25904000000
25905000000,25905000000
25906000000,25906000000
25907000000,25907000000
25908000000,25908000000
25909000000,25909000000
25910000000,25910000000
25911000000,25911000000
25912000000,25912000000
25913000000,25913000000
25914000000,25914000000
25915000000,25915000000
25916000000,25916000000
25917000000,25917000000
25918000000,25918000000
25919000000,25919000000
25920000000,25920000000
25921000000,25921000000
25922000000,25922000000
25923000000,25923000000
25924000000,25924000000
25925000000,25925000000
25926000000,25926000000
25926000000,25927000000
25928000000,25928000000
25929000000,25929000000
25930000000,25930000000
25931000000,25931000000
25932000000,25932000000
25933000000,25933000000
25934000000,25934000000
25935000000,25935000000
25936000000,25936000000
25937000000,25937000000
25938000000,25938000000
25938000000,25939000000
25940000000,25940000000
25941000000,25941000000
25942000000,25942000000
25943000000,25943000000
25944000000,25944000000
