%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z,field.r,field.buttons
14887000000,422,14887000000,,0.0,0.0,0.5,0.0,0
14920000000,423,14920000000,,0.0,0.0,0.5,0.0,0
14961000000,424,14961000000,,0.0,0.0,0.5,0.0,0
15003000000,425,15003000000,,0.0,0.0,0.5,0.0,0
15040000000,426,15039000000,,0.0,0.0,0.5,0.0,0
15104000000,427,15104000000,,0.0,0.0,0.5,0.0,0
15120000000,428,15120000000,,0.0,0.0,0.5,0.0,0
15172000000,429,15172000000,,0.0,0.0,0.5,0.0,0
15239000000,430,15239000000,,0.0,0.0,0.5,0.0,0
15304000000,431,15304000000,,0.0,0.0,0.5,0.0,0
15321000000,432,15321000000,,0.0,0.0,0.5,0.0,0
15371000000,433,15371000000,,0.0,0.0,0.5,0.0,0
15404000000,434,15404000000,,0.0,0.0,0.5,0.0,0
15438000000,435,15438000000,,0.0,0.0,0.5,0.0,0
15488000000,436,15488000000,,0.0,0.0,0.5,0.0,0
15521000000,437,15521000000,,0.0,0.0,0.5,0.0,0
15572000000,438,15572000000,,0.0,0.0,0.5,0.0,0
15605000000,439,15605000000,,0.0,0.0,0.5,0.0,0
15655000000,440,15655000000,,0.0,0.0,0.5,0.0,0
15688000000,441,15688000000,,0.0,0.0,0.5,0.0,0
15721000000,442,15721000000,,0.0,0.0,0.5,0.0,0
15771000000,443,15771000000,,0.0,0.0,0.5,0.0,0
15804000000,444,15804000000,,0.0,0.0,0.5,0.0,0
15854000000,445,15854000000,,0.0,0.0,0.5,0.0,0
15889000000,446,15889000000,,0.0,0.0,0.5,0.0,0
15920000000,447,15920000000,,0.0,0.0,0.5,0.0,0
15958000000,448,15958000000,,0.0,0.0,0.5,0.0,0
16005000000,449,16005000000,,0.0,0.0,0.5,0.0,0
16037000000,450,16037000000,,0.0,0.0,0.5,0.0,0
16087000000,451,16087000000,,0.0,0.0,0.5,0.0,0
16120000000,452,16120000000,,0.0,0.0,0.5,0.0,0
16159000000,453,16159000000,,0.0,0.0,0.5,0.0,0
16239000000,454,16239000000,,0.0,0.0,0.5,0.0,0
16288000000,455,16288000000,,0.0,0.0,0.5,0.0,0
16321000000,456,16321000000,,0.0,0.0,0.5,0.0,0
16371000000,457,16371000000,,0.0,0.0,0.5,0.0,0
16404000000,458,16404000000,,0.0,0.0,0.5,0.0,0
16438000000,459,16438000000,,0.0,0.0,0.5,0.0,0
16487000000,460,16487000000,,0.0,0.0,0.5,0.0,0
16521000000,461,16521000000,,0.0,0.0,0.5,0.0,0
16558000000,462,16558000000,,0.0,0.0,0.5,0.0,0
16605000000,463,16605000000,,0.0,0.0,0.5,0.0,0
16638000000,464,16638000000,,0.0,0.0,0.5,0.0,0
16687000000,465,16686000000,,0.0,0.0,0.5,0.0,0
16721000000,466,16721000000,,0.0,0.0,0.5,0.0,0
16759000000,467,16759000000,,0.0,0.0,0.5,0.0,0
16804000000,468,16804000000,,0.0,0.0,0.5,0.0,0
16838000000,469,16838000000,,0.0,0.0,0.5,0.0,0
16889000000,470,16889000000,,0.0,0.0,0.5,0.0,0
16922000000,471,16922000000,,0.0,0.0,0.5,0.0,0
16958000000,472,16958000000,,0.0,0.0,0.5,0.0,0
16997000000,473,16997000000,,0.0,0.0,0.5,0.0,0
17039000000,474,17038000000,,0.0,0.0,0.5,0.0,0
17088000000,475,17087000000,,0.0,0.0,0.5,0.0,0
17121000000,476,17120000000,,0.0,0.0,0.5,0.0,0
17171000000,477,17171000000,,0.0,0.0,0.5,0.0,0
17204000000,478,17204000000,,0.0,0.0,0.5,0.0,0
17237000000,479,17237000000,,0.0,0.0,0.5,0.0,0
17288000000,480,17288000000,,0.0,0.0,0.5,0.0,0
17321000000,481,17321000000,,0.0,0.0,0.5,0.0,0
17371000000,482,17371000000,,0.0,0.0,0.5,0.0,0
17405000000,483,17404000000,,0.0,0.0,0.5,0.0,0
17437000000,484,17437000000,,0.0,0.0,0.5,0.0,0
17472000000,485,17472000000,,0.0,0.0,0.5,0.0,0
17494000000,486,17494000000,,0.0,0.0,0.5,0.0,0
17538000000,487,17538000000,,0.0,0.0,0.5,0.0,0
17555000000,488,17555000000,,0.0,0.0,0.5,0.0,0
17588000000,489,17588000000,,0.0,0.0,0.5,0.0,0
17638000000,490,17638000000,,0.0,0.0,0.5,0.0,0
17671000000,491,17671000000,,0.0,0.0,0.5,0.0,0
17722000000,492,17722000000,,0.0,0.0,0.5,0.0,0
17755000000,493,17755000000,,0.0,0.0,0.5,0.0,0
17788000000,494,17788000000,,0.0,0.0,0.5,0.0,0
17838000000,495,17838000000,,0.0,0.0,0.5,0.0,0
17871000000,496,17871000000,,0.0,0.0,0.5,0.0,0
17921000000,497,17921000000,,0.0,0.0,0.5,0.0,0
17956000000,498,17956000000,,0.0,0.0,0.5,0.0,0
17987000000,499,17987000000,,0.0,0.0,0.5,0.0,0
18049000000,500,18049000000,,0.0,0.0,0.5,0.0,0
18071000000,501,18071000000,,0.0,0.0,0.5,0.0,0
18121000000,502,18121000000,,0.0,0.0,0.5,0.0,0
18154000000,503,18154000000,,0.0,0.0,0.5,0.0,0
18189000000,504,18189000000,,0.0,0.0,0.5,0.0,0
18239000000,505,18239000000,,0.0,0.0,0.5,0.0,0
18270000000,506,18270000000,,0.0,0.0,0.5,0.0,0
