%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1759740408709280696,6256,1759740408708716632,map,0.026343819674372295,0.021415467444922835,-0.03515778842605232,0.0,0.0,0.0,0.0
1759740408710718712,6257,1759740408710218840,map,0.026343819674372295,0.021415467444922835,-0.03515778842605232,0.0,0.0,0.0,0.0
1759740408712329208,6258,1759740408712155480,map,0.026359489915992067,0.0214573174245008,-0.035193338663499746,0.0,0.0,0.0,0.0
1759740408714327672,6259,1759740408714137784,map,0.026359489915992067,0.0214573174245008,-0.035193338663499746,0.0,0.0,0.0,0.0
1759740408716748632,6260,1759740408716134072,map,0.026359489915992067,0.0214573174245008,-0.035193338663499746,0.0,0.0,0.0,0.0
1759740408718328088,6261,1759740408718136664,map,0.026359489915992067,0.0214573174245008,-0.035193338663499746,0.0,0.0,0.0,0.0
1759740408720389560,6262,1759740408720140376,map,0.026359489915992067,0.0214573174245008,-0.035193338663499746,0.0,0.0,0.0,0.0
1759740408723309784,6263,1759740408722530456,map,0.026359489915992067,0.0214573174245008,-0.035193338663499746,0.0,0.0,0.0,0.0
1759740408724726872,6264,1759740408724286424,map,0.026359489915992067,0.0214573174245008,-0.035193338663499746,0.0,0.0,0.0,0.0
1759740408726531896,6265,1759740408726218328,map,0.026335322180030315,0.021459809953736534,-0.035161939009292424,0.0,0.0,0.0,0.0
1759740408728270712,6266,1759740408728170808,map,0.026335322180030315,0.021459809953736534,-0.035161939009292424,0.0,0.0,0.0,0.0
1759740408730445464,6267,1759740408730164408,map,0.026335322180030315,0.021459809953736534,-0.035161939009292424,0.0,0.0,0.0,0.0
1759740408732701624,6268,1759740408732237720,map,0.026335322180030315,0.021459809953736534,-0.035161939009292424,0.0,0.0,0.0,0.0
1759740408736092280,6269,1759740408734698968,map,0.026335322180030315,0.021459809953736534,-0.035161939009292424,0.0,0.0,0.0,0.0
1759740408736399384,6270,1759740408736253176,map,0.026338967990326843,0.021438574007863313,-0.03517356059279117,0.0,0.0,0.0,0.0
1759740408740172248,6271,1759740408738285336,map,0.026338967990326843,0.021438574007863313,-0.03517356059279117,0.0,0.0,0.0,0.0
1759740408742035800,6272,1759740408741615864,map,0.026338967990326843,0.021438574007863313,-0.03517356059279117,0.0,0.0,0.0,0.0
1759740408744050520,6273,1759740408743454776,map,0.026338967990326843,0.021438574007863313,-0.03517356059279117,0.0,0.0,0.0,0.0
1759740408744862552,6274,1759740408744621400,map,0.026335004495977057,0.02143147565880984,-0.03515092860341925,0.0,0.0,0.0,0.0
1759740408749351416,6275,1759740408748858456,map,0.026335004495977057,0.02143147565880984,-0.03515092860341925,0.0,0.0,0.0,0.0
